SPK_SPKC01a (NA),SPK_SPKC10a (no effect)
47.9378,97.805875
47.995625,97.824625
48.00225,97.859825
48.0306,97.8686
48.0344,97.929075
48.0862,97.949275
48.0879,97.981525
48.0917,97.9982
48.11915,98.006075
48.143,98.036325
48.1614,98.09235
48.16755,98.142275
48.178625,98.16515
48.30515,98.17455
48.38365,98.2119
48.501025,98.22895
48.50785,98.2789
48.58155,98.30975
48.60815,98.407375
48.66455,98.429975
48.70485,98.515325
48.871325,98.5915
48.945325,98.601075
49.07705,98.616825
49.088675,98.6706
49.1518,98.707075
49.20875,98.791425
49.2129,98.82075
49.240375,98.84465
49.315,98.95835
49.368875,98.972975
49.43005,98.993475
49.531425,99.03475
49.693975,99.068975
49.7018,99.099325
49.829525,99.12435
49.887275,99.139325
50.0645,99.16815
50.11495,99.2283
50.1868,99.23705
50.19035,99.281975
50.203425,99.305375
50.214375,99.319
50.242375,99.347675
50.422525,99.3569
50.427375,99.464825
50.460175,99.4822
50.4729,99.5365
50.48625,99.547675
50.5084,99.581425
50.542325,99.595375
50.55075,99.61875
50.5704,99.655375
50.725675,99.67095
50.740425,99.7254
50.7811,99.757925
50.8238,99.765425
50.835275,99.77475
50.86945,99.811575
50.896875,99.8389
50.97715,99.851075
50.98085,99.867375
50.999325,99.957075
51.037025,100.0761
51.040925,100.10555
51.06685,100.185
51.07355,100.201125
51.094325,100.26955
51.10215,100.34515
51.17055,100.396125
51.174625,100.411575
51.254875,100.483575
51.262575,100.508025
51.3041,100.559775
51.3114,100.571075
51.363525,100.5832
51.38175,100.5912
51.402275,100.61895
51.526275,100.6532
51.541175,100.6952
51.549075,100.73845
51.5807,100.7722
51.592375,100.79565
51.599775,100.87955
51.674225,100.950475
51.718125,100.9611
51.734525,101.0487
51.7956,101.11225
51.8014,101.158325
51.813925,101.168875
51.87575,101.19025
51.941725,101.29885
51.951,101.311525
51.959225,101.4066
51.964425,101.467025
51.98205,101.480725
52.0734,101.5268
52.1189,101.574275
52.125425,101.602025
52.159675,101.635175
52.198775,101.6578
52.220525,101.731825
52.250725,101.868675
52.364225,101.97195
52.40215,101.99075
52.420075,102.0635
52.450175,102.074725
52.45445,102.101525
52.500625,102.1176
52.508975,102.159075
52.5376,102.1925
52.562925,102.218575
52.604375,102.2632
52.719525,102.273575
52.726425,102.298825
52.76005,102.341025
52.8215,102.44565
52.8262,102.514825
52.8526,102.5292
52.9018,102.5499
52.9034,102.58275
52.9493,102.59055
52.9606,102.625325
53.02495,102.6516
53.076225,102.6689
53.105275,102.726775
53.10985,102.7553
53.196825,102.770275
53.223575,102.7843
53.24535,102.815975
53.28355,102.825625
53.289375,102.83765
53.294775,102.879575
53.298025,102.96435
53.350075,103.00215
53.410475,103.017575
53.497575,103.0547
53.51435,103.0631
53.52635,103.070975
53.548675,103.081575
53.582025,103.13125
53.6152,103.17315
53.6248,103.19785
53.63505,103.210825
53.668725,103.25565
53.683175,103.3008
53.686825,103.3396
53.737475,103.409925
53.753675,103.467425
53.75805,103.5277
53.772725,103.5758
53.80915,103.58805
53.9408,103.615525
53.9761,103.670225
53.994825,103.6933
54.082925,103.713025
54.148625,103.8039
54.1685,103.85725
54.22105,103.915325
54.2259,103.984325
54.230925,104.09815
54.341475,104.1898
54.375675,104.204575
54.3967,104.313425
54.414175,104.32525
54.474075,104.3409
54.4803,104.352075
54.573875,104.3741
54.679775,104.3859
