SPK_SPKC05a (inhi),SPK_SPKC09b (exc),SPK_SPKC09c (inhi)
409.06095,418.357675,408.652725
409.08985,418.435,408.673425
409.122675,418.48175,408.7034
409.142,418.5525,408.766875
409.172425,418.605375,408.807525
409.191125,418.644575,408.827175
409.205525,418.68005,408.8361
409.22805,418.75535,408.872525
409.258175,418.874925,408.9495
409.2833,418.8768,408.973475
409.315125,418.931675,408.980275
409.339325,418.9555,409.00425
409.377425,419.000025,409.031225
409.40665,419.041525,409.0568
409.4238,419.0774,409.0783
409.461475,419.1815,409.1196
409.49155,419.182925,409.141425
409.518525,419.3945,409.162925
409.5373,419.428725,409.189825
409.57265,419.486125,409.2311
409.59265,419.61285,409.2602
409.623975,419.668,409.302225
409.652625,419.719325,409.334175
409.679,419.8731,409.367
409.70835,419.91785,409.406475
409.72865,419.96065,409.434125
409.764075,420.039275,409.47005
409.79535,420.045375,409.488525
409.82015,420.086725,409.529875
409.85385,420.1358,409.5554
409.8993,420.148925,409.580425
409.918375,420.2094,409.617375
409.942,420.263525,409.6516
409.96645,420.363525,409.682125
409.99025,420.37885,409.7052
410.01265,420.393825,409.73085
410.033775,420.4183,409.7566
410.05695,420.486525,409.787
410.074175,420.542225,409.839675
410.094125,420.594025,409.878475
410.13645,420.628575,409.908175
410.178925,421.033375,409.9427
410.2018,421.066425,409.9686
410.227675,421.145775,410.0055
410.24635,421.172725,410.036875
410.265525,421.20165,410.06625
410.2917,421.3472,410.109775
410.3213,421.605025,410.1414
410.34955,421.661725,410.178025
410.38635,421.738775,410.20265
410.4177,421.780325,410.225525
410.4536,421.85765,410.24555
410.514425,421.91155,410.263875
410.5438,422.008,410.288075
410.583975,422.048575,410.308875
410.6533,422.0844,410.358175
410.67325,422.114525,410.377225
410.707725,422.16815,410.442525
410.753775,422.22165,410.488225
410.79555,422.251,410.545575
410.85605,422.293825,410.575125
410.878625,422.372975,410.61775
410.90875,422.42945,410.658025
410.946025,422.43105,410.732525
410.9783,422.497875,410.754175
410.991075,422.5696,410.774575
411.010425,422.609675,410.791925
411.041875,422.82505,410.810575
411.06055,422.89215,410.83295
411.087275,422.90525,410.859825
411.1149,423.067675,410.897975
411.1656,423.118375,410.934475
411.187925,423.216575,410.9781
411.2369,423.2726,411.011
411.256925,423.336075,411.05745
411.272,423.367925,411.086825
411.289325,423.4371,411.126675
411.326825,423.474425,411.144775
411.36355,423.52135,411.17775
411.398225,423.664325,411.213275
411.42345,423.7191,411.230375
411.4416,423.772175,411.243475
411.4634,423.8465,411.27165
411.49955,424.01445,411.29185
411.5538,424.08045,411.32495
411.5791,424.122925,411.354925
411.618125,424.2012,411.391725
411.642825,424.252775,411.437075
411.6758,424.2949,411.459025
411.70725,424.46925,411.5095
411.734125,424.55855,411.548575
411.77725,424.6564,411.573175
411.80985,424.698,411.589725
411.83845,424.765375,411.646625
411.865375,424.796625,411.712075
411.88775,424.8303,411.7371
411.958925,424.8536,411.764
412.002725,424.863225,411.7975
412.0578,424.9115,411.820125
412.09515,424.947875,411.84795
412.150025,424.98745,411.874475
412.17725,425.00765,411.9017
412.207775,425.02895,411.947075
412.254525,425.032125,411.98825
412.280725,425.0672,412.0262
412.317875,425.185525,412.046975
412.341725,425.258475,412.096575
412.393375,425.3035,412.128375
412.42945,425.3487,412.149075
412.466475,425.428925,412.230925
412.49605,425.49115,412.3317
412.53675,425.4993,412.365325
412.5555,425.602275,412.4003
412.58975,425.62695,412.430475
