SPK_SPKC10a (excited),SPK_SPKC12a (NA),SPK_SPKC13a (NA),SPK_SPKC14a (no effect),SPK_SPKC16a (NA)
70.459225,8.62435,66.03805,113.055775,68.531175
70.867125,8.671625,66.22645,113.561225,68.550775
70.935725,8.68655,66.823625,113.6272,68.5658
71.080625,8.705125,66.84075,113.665725,68.603
72.291475,8.75295,66.9015,116.225175,68.685025
73.14115,8.767975,66.92195,117.354425,68.75235
73.782275,8.7934,66.9375,125.088925,68.788875
73.803425,8.81985,67.005925,125.3814,68.883375
73.8479,8.854275,67.175875,125.768625,68.973125
73.9718,8.869525,67.21785,126.3716,69.054175
74.986425,8.8941,81.184225,126.492275,69.0747
75.0766,8.9241,89.3037,127.129625,69.200225
75.1408,8.962875,97.26395,127.18475,69.318075
75.15615,8.9761,97.3479,127.414225,69.378725
75.31175,9.161925,97.72,127.87305,69.393725
75.4897,9.174725,97.792375,128.11985,69.524275
75.613725,9.18715,97.938475,128.752925,69.55355
75.615925,9.206375,98.05345,128.81875,69.7225
75.78235,9.215,98.581225,128.967,69.83495
75.851275,9.224425,98.639075,129.0544,69.867675
75.9196,9.237725,98.658075,130.42095,69.943375
75.946825,9.2498,98.725725,130.517975,69.9547
76.13035,9.262175,98.7445,134.134475,70.23595
76.47545,9.275425,98.820975,135.499375,70.4708
77.566025,9.3294,98.888975,137.158825,70.506325
77.7687,9.3464,99.031975,143.09675,70.601625
78.081825,9.3569,99.050975,143.2903,71.05485
78.190925,9.36635,99.0655,143.638025,71.397575
78.873225,9.391275,99.11095,153.826775,71.418625
78.995175,9.400725,99.189725,155.70735,71.439
79.631375,9.4132,99.249325,156.3902,71.677825
80.35285,9.430875,99.31535,156.800975,71.764375
80.458325,9.4571,99.36365,156.819675,71.84385
81.021675,9.468525,99.379,157.28145,72.10595
81.279425,9.47705,99.392475,157.734025,72.293625
82.2866,9.486375,99.481625,158.151975,72.533875
83.4765,9.49945,99.631975,158.4124,72.564025
84.098975,9.523975,99.6703,158.850125,72.711425
84.2094,9.544125,99.704725,158.9304,72.829325
84.2685,9.584225,99.7481,165.541575,72.969675
84.2863,9.6103,99.87125,166.668675,73.613175
84.59125,9.727175,99.945,168.064725,74.10425
85.20345,9.739175,99.964075,168.516825,74.213975
85.2765,9.755675,100.128325,170.582125,74.5733
85.357275,9.773225,102.873575,170.70435,74.601
85.6988,9.799,110.667975,170.9737,74.6432
85.8227,9.828975,118.589875,171.88155,74.675875
86.1906,9.875625,119.55985,172.135775,74.696825
86.453375,9.914875,119.573425,175.58605,74.750425
87.7584,9.955375,119.699825,175.667725,74.766825
88.399875,10.000675,119.7169,175.670275,74.97825
89.39855,10.059625,119.885225,175.713525,75.113525
89.679575,10.07205,119.90525,175.72245,75.141325
89.8241,10.10435,119.943375,175.724375,75.257
89.911525,10.112,120.027725,175.7792,75.29215
89.934475,10.121975,120.040625,175.84335,75.556925
