SPK_SPKC04a (late exc?),SPK_SPKC04b (inhi/exc),SPK_SPKC05a (exc/inhi)
140.270025,19.254425,134.91545
140.8921,19.29005,135.624975
140.904925,19.319525,135.725125
140.971275,19.3545,136.32115
141.171475,19.4011,136.401825
141.2102,19.478875,136.445725
141.36975,19.527075,136.62215
141.421975,19.5555,136.656425
141.504875,19.595225,136.710725
141.540125,19.63545,136.966475
141.580625,19.7077,137.388525
142.188875,19.748775,137.45765
142.54735,19.786075,138.26115
142.81355,19.8022,139.7441
142.877175,19.852625,139.845225
143.00675,19.8727,139.8472
143.184375,19.898775,140.3396
143.652525,19.95925,140.691175
143.768825,20.018375,140.726525
143.863975,20.064575,140.731575
143.89765,20.146625,140.748975
144.02935,20.167075,140.761125
144.0707,20.188125,141.2677
144.36525,20.210475,141.306675
144.65175,20.2698,141.324975
144.85205,20.30215,141.328075
145.33795,20.351725,141.404625
145.4372,20.3782,141.444325
145.595275,20.39885,141.87225
145.73315,20.422975,142.744775
145.800425,20.46005,142.771475
145.83985,20.535575,143.267325
146.52,20.59065,143.3043
147.075325,20.610075,144.22585
147.19125,20.6378,145.082125
147.2179,20.659375,145.789875
147.276925,20.7062,145.823325
147.588025,20.734,145.8459
147.707075,20.7715,145.8506
147.87085,20.803,146.152225
148.06295,20.821825,147.588425
148.5027,20.852425,148.0687
148.615175,20.870325,148.258425
148.657375,20.9083,148.42655
149.073575,20.9933,148.959725
149.152125,21.03775,148.965775
149.2844,21.0812,149.274475
149.931,21.095625,149.2863
149.9735,21.112675,149.28875
150.10125,21.1558,149.302475
150.139775,21.20395,149.306475
150.233175,21.234975,149.313075
150.350425,21.266025,149.365875
150.387775,21.284675,149.3752
150.55635,21.31,149.8364
150.930275,21.332175,151.414325
151.044375,21.348125,152.196975
151.32275,21.382975,152.24585
151.36495,21.443575,152.285175
151.420825,21.4857,152.961125
151.889775,21.535725,152.99445
152.65885,21.56045,153.463175
152.73265,21.598075,153.68955
152.8305,21.7239,153.71875
152.914175,21.8051,153.757725
153.0267,21.825475,154.105725
153.104475,21.839625,154.2134
153.287425,21.85225,155.069225
153.56755,21.87,155.321175
153.692175,21.882675,155.45305
153.809225,21.897725,155.68935
154.322375,21.948,155.885725
154.65155,21.99355,156.0156
154.722875,22.00775,156.34685
154.761575,22.034675,156.4379
154.8524,22.07805,156.626375
154.900475,22.134175,156.694775
154.9182,22.1785,156.862625
155.0569,22.209375,157.499075
155.321825,22.223,157.577175
155.51005,22.2509,157.7047
155.587075,22.27275,157.708975
155.771325,22.3025,158.100725
156.14015,22.39945,158.708775
156.392175,22.4348,159.227475
156.6588,22.48015,159.677475
156.912325,22.50625,160.44765
156.964425,22.5397,160.60225
157.20905,22.651775,160.62675
158.02,22.70925,160.6755
158.102375,22.7673,160.69665
158.24595,22.84495,160.71125
158.594275,22.873875,160.72585
158.6378,22.89815,160.746
158.892825,22.9575,160.880575
159.0265,22.997575,160.929825
159.579,23.01775,160.997225
160.6374,23.068375,161.0129
160.647425,23.178875,161.324725
160.85505,23.255025,161.598425
161.042125,23.294925,161.820875
161.32145,23.31945,162.023425
161.43555,23.362575,162.292175
161.495725,23.39,162.542525
161.6007,23.425075,162.583725
161.725125,23.45345,162.705725
161.73025,23.49055,163.080325
161.960975,23.5137,163.383725
162.57675,23.5509,163.386675
162.64785,23.58115,163.47515
162.9224,23.60465,163.5093
164.007275,23.62115,163.54605
164.416475,23.685125,163.561975
164.7943,23.699225,163.7515
165.93585,23.7284,163.759
166.7821,23.74445,164.075575
166.829875,23.764175,164.33725
167.237075,23.84015,164.619575
167.430075,23.867075,165.011625
168.127275,24.00315,165.316675
168.3693,24.020825,165.721925
169.478,24.035225,165.76205
169.554925,24.05895,165.91475
169.65775,24.08645,166.123125
169.71765,24.10295,166.5339
169.774975,24.1181,166.624525
169.81425,24.136175,167.012075
169.8291,24.1584,167.1253
169.852575,24.1702,167.33585
169.8659,24.1874,167.35885
169.891325,24.2051,167.570975
170.38385,24.235925,167.802525
170.412275,24.26375,167.984625
170.780275,24.296275,168.34375
170.9656,24.40575,168.370525
170.997475,24.453,168.419175
171.439925,24.471025,168.550625
171.589425,24.5018,168.704475
171.972225,24.5289,169.4447
172.1788,24.54335,169.483525
172.356325,24.56755,169.543
172.376625,24.5935,169.676325
172.6043,24.625775,169.725375
172.99265,24.682,169.804025
173.257475,24.756225,170.172
173.3789,24.8603,170.50275
173.54545,24.880425,170.562425
173.9412,24.9125,170.6141
174.131625,24.92975,170.73315
174.2998,24.961075,170.9048
174.6012,24.9773,170.949925
174.769075,24.999675,171.04865
174.7988,25.02805,171.195225
174.81695,25.045725,171.2585
174.9173,25.06175,171.587825
174.94925,25.121625,171.95775
175.003,25.15725,172.0872
175.133525,25.17735,172.23135
175.59765,25.24645,172.25615
175.628725,25.266225,172.2924
175.716625,25.301325,172.690325
175.850375,25.347325,172.733125
175.885525,25.36985,172.7802
175.9233,25.391625,172.9979
175.946975,25.424425,173.061125
176.4513,25.452025,173.099725
176.49535,25.49045,173.551775
176.685925,25.5686,173.559
176.803775,25.6058,173.588425
176.983625,25.6318,173.713925
177.03005,25.682425,173.86175
177.05335,25.744325,174.001175
177.07605,25.802975,174.025375
177.090425,25.834125,174.66915
177.358075,25.854825,174.6724
177.502575,25.898375,175.324125
177.888425,25.9437,175.5597
177.986275,25.9648,175.681775
178.017075,25.975525,175.91215
178.13745,26.0004,176.191075
178.45405,26.048275,176.703625
178.867275,26.0873,176.828075
179.05535,26.15335,177.6403
179.17085,26.232475,177.83985
179.2247,26.261225,178.259525
179.322125,26.32285,178.7332
179.45605,26.357875,182.012475
179.586425,26.429975,184.062325
179.627125,26.472675,185.38875
179.7123,26.49225,186.2686
179.854875,26.514625,187.33185
179.921125,26.556575,187.7931
179.95825,26.579325,188.30585
179.9998,26.594525,188.700625
180.058925,26.6091,188.7825
180.1871,26.636125,190.41455
180.898625,26.6623,190.889975
181.403725,26.6811,193.3242
181.4985,26.7251,195.38845
181.6503,26.7452,196.5432
181.852075,26.760975,
182.34245,26.7859,
182.59825,26.799525,
182.983575,26.810825,
183.229475,26.826375,
183.488525,26.84515,
183.5806,26.863325,
183.8876,26.920925,
184.4307,26.93985,
184.45745,26.960125,
184.734425,26.9693,
184.86785,26.987375,
184.916825,27.046475,
184.93905,27.061025,
185.30115,27.0936,
186.124825,27.121275,
186.336625,27.157725,
187.1287,27.1654,
187.2283,27.18035,
187.3873,27.19965,
187.4904,27.293375,
187.836725,27.3128,
187.925325,27.32785,
187.97935,27.338975,
188.940975,27.36655,
189.062075,27.391375,
189.284325,27.4223,
189.571875,27.45245,
189.726525,27.4951,
189.883925,27.52335,
189.9324,27.543875,
190.003225,27.581175,
190.09575,27.6013,
190.234975,27.622975,
190.25975,27.683725,
190.547175,27.731075,
190.637775,27.778225,
190.8045,27.81075,
190.874,27.87555,
191.1285,27.939775,
191.217125,27.9692,
191.264625,27.99355,
191.49435,28.026225,
191.779075,28.084575,
192.0572,28.10175,
192.2601,28.189875,
192.481475,28.210525,
192.5688,28.22425,
192.671275,28.253,
193.092,28.29055,
193.21365,28.34355,
193.456675,28.38585,
193.557575,28.4657,
193.619425,28.509725,
193.845625,28.552475,
194.21345,28.56625,
194.375875,28.57895,
194.490575,28.61345,
194.5246,28.6485,
194.6577,28.719,
194.9429,28.78325,
195.480225,28.80755,
195.544975,28.83105,
196.004725,28.858525,
196.0775,28.914775,
196.523075,28.9619,
196.700725,29.01985,
196.7651,29.135725,
196.8544,29.171425,
197.5233,29.186725,
197.626425,29.2245,
197.940825,29.27695,
198.39905,29.302725,
198.530125,29.32055,
199.085875,29.38585,
199.161075,29.4459,
199.4822,29.479975,
,29.541825,
,29.58,
,29.603275,
,29.62095,
,29.64445,
,29.67355,
,29.6966,
,29.712075,
,29.78105,
,29.8084,
,29.89795,
,29.956025,
,29.9998,
,30.11005,
,30.143325,
,30.166925,
,30.1925,
,30.234975,
,30.2565,
,30.30955,
,30.3381,
,30.36795,
,30.402825,
,30.4511,
,30.48375,
,30.5313,
,30.553125,
,30.584725,
,30.61145,
,30.63735,
,30.66585,
,30.682775,
,30.6976,
,30.729775,
,30.749825,
,30.84205,
,30.881475,
,30.888975,
,30.901625,
,30.917525,
,30.9472,
,30.9787,
,31.0042,
,31.025975,
,31.05415,
,31.062475,
,31.13135,
,31.150625,
,31.170225,
,31.2068,
,31.24795,
,31.289525,
,31.4194,
,31.44775,
,31.471575,
,31.521,
,31.551725,
,31.5725,
,31.600625,
,31.6593,
,31.6797,
,31.702375,
,31.736175,
,31.77305,
,31.8182,
,31.84865,
,31.97935,
,32.02955,
,32.065975,
,32.138125,
,32.162875,
,32.18575,
