SPK_SPKC09a (exc),SPK_SPKC12a (no response),SPK_SPKC13a (no response)
428.068575,425.4471,
428.1155,425.45975,
428.1492,425.47015,
428.1905,425.499075,
428.2608,425.5212,
428.29065,425.5478,
428.365725,425.575875,
428.4498,425.597975,
428.45165,425.62065,
428.50175,425.68175,
428.611575,425.740875,
428.77595,425.76365,
428.86815,425.78495,
428.973325,425.817175,
429.064775,425.86165,
429.23735,425.88655,
429.487475,425.9156,
429.5597,425.945325,
429.591875,425.967025,
429.63125,425.99405,
429.658425,426.022375,
429.691625,426.057375,
429.747175,426.145675,
429.800725,426.2076,
429.83495,426.2687,
429.854225,426.3795,
429.86905,426.41715,
429.908075,426.50725,
429.929575,426.679475,
429.952675,426.718275,
429.977,426.750925,
430.001025,426.791625,
430.016975,426.823075,
430.07695,426.84495,
430.10005,426.867725,
430.137375,426.89065,
430.154725,426.903025,
430.17395,426.919625,
430.201175,426.948025,
430.215075,427.003025,
430.254325,427.036425,
430.2779,427.065475,
430.325825,427.103925,
430.35695,427.12995,
430.38295,427.14235,
430.401825,427.153375,
430.428125,427.183975,
430.457075,427.198625,
430.4845,427.208725,
430.521575,427.226225,
430.614825,427.2388,
430.640775,427.264725,
430.751275,427.291125,
430.77065,427.31155,
430.819375,427.3286,
430.853375,427.342725,
430.8759,427.3562,
430.90695,427.374375,
430.9237,427.3869,
430.95235,427.398375,
431.023375,427.4131,
431.064825,427.4249,
431.126125,427.455375,
431.15235,427.475875,
431.19715,427.5031,
431.2358,427.53665,
431.28505,427.566325,
431.39165,427.6067,
431.49385,427.641775,
431.527675,427.662475,
431.556825,427.679625,
431.5963,427.699225,
431.62195,427.71935,
431.653,427.744575,
431.682325,427.7665,
431.716075,427.7878,
431.7407,427.8146,
431.790575,427.834025,
431.830625,427.867475,
431.97015,427.908025,
432.007725,427.9887,
432.057825,428.032275,
432.15965,428.06135,
432.179825,428.0812,
432.2039,428.102875,
432.2214,428.119925,
432.262225,428.1388,
432.30575,428.16335,
432.3393,428.188275,
432.36205,428.209175,
