SPK_SPKC03a (weak inhi),SPK_SPKC08a (exc),SPK_SPKC09a (no response),SPK_SPKC10b (weak inhi),SPK_SPKC11a (no response)
256.4717,264.8839,254.94185,259.805575,254.979925
256.49115,264.9136,254.9774,259.824975,255.025875
256.556075,264.9566,255.010125,259.860975,255.053475
256.5601,264.980475,255.038925,259.877375,255.07625
256.57885,264.985475,255.04715,259.911825,255.091425
256.597025,265.017875,255.05635,260.0168,255.121375
256.64975,265.027725,255.082125,260.041975,255.16095
256.680925,265.0477,255.08825,260.114175,255.192275
256.69915,265.117575,255.11345,260.18715,255.234975
256.74535,265.246525,255.141275,260.274875,255.262975
256.7885,265.324075,255.160875,260.302075,255.299425
256.815075,265.330475,255.18545,260.305225,255.328575
256.83335,265.335975,255.203675,260.338125,255.34035
256.856375,265.34525,255.2236,260.349175,255.361375
256.882125,265.52475,255.245325,260.37235,255.38575
256.9038,265.607375,255.270425,260.378225,255.413475
256.9631,265.65705,255.277575,260.4057,255.432525
256.985675,265.664225,255.2949,260.434875,255.455775
257.0503,265.68655,255.30465,260.449575,255.47815
257.149775,265.6925,255.321775,260.4841,255.5107
257.16825,265.6983,255.347125,260.517725,255.5267
257.233925,265.7039,255.3945,260.5668,255.552425
257.248725,265.754425,255.430725,260.63045,255.59615
257.310725,265.8137,255.462825,260.7032,255.61295
257.351275,265.8597,255.513575,260.745625,255.6346
257.37405,266.008225,255.5366,260.76905,255.65725
257.4569,266.193525,255.5603,260.772325,255.694175
257.48435,266.203125,255.58265,260.7913,255.7244
257.526475,266.21705,255.611475,260.818075,255.73755
257.580925,266.218725,255.63925,260.886025,255.7578
257.647725,266.252575,255.65885,260.88905,255.793575
257.667475,266.27375,255.6853,260.9216,255.8063
257.683975,266.363475,255.71635,260.93865,255.82445
257.708975,266.4722,255.793425,260.9525,255.84125
257.75615,266.488225,255.81625,261.001075,255.858325
257.8163,266.50915,255.836775,261.100425,255.87505
257.84475,266.537925,255.855225,261.1141,255.895725
257.85845,266.599525,255.91615,261.151375,255.913075
257.8923,266.64795,255.96755,261.246325,255.93735
257.904625,266.6902,256.021875,261.336025,255.955625
257.97205,266.71165,256.069675,261.3712,255.9837
257.991825,266.8011,256.0796,261.393925,256.000875
