SPK_SPKC01a,SPK_SPKC02b,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC06a,SPK_SPKC08b,SPK_SPKC09a,SPK_SPKC10a,SPK_SPKC14a
44.337025,1.9241,11.8558,7.5573,4.647325,35.5655,3.340175,3.863075,7.1156
44.4479,1.940575,12.068575,7.58285,4.675925,35.613675,3.360875,3.898675,7.178975
44.596175,1.959475,12.2383,7.591925,4.71145,35.64665,3.38045,3.91375,7.203075
44.6397,1.972625,12.34495,7.605125,4.74875,35.724125,3.400025,3.928875,7.21465
44.983625,2.0142,12.369375,7.613575,4.77675,35.810375,3.426625,3.96055,7.228
45.062875,2.0316,12.37675,7.63235,4.8006,35.9433,3.453175,3.978725,7.262725
45.251475,2.043425,12.514125,7.64125,4.82,35.94925,3.47255,3.9874,7.28305
46.023125,2.05975,12.562225,7.674425,4.847625,35.985125,3.492925,4.00455,7.4132
47.410625,2.0754,12.580525,7.709425,4.890875,36.0862,3.513225,4.044375,7.429925
47.9698,2.092775,12.62295,7.75015,4.914,36.112275,3.534825,4.06625,7.463575
48.04085,2.104275,12.6768,7.756975,4.953025,36.158175,3.559525,4.08645,7.50745
48.6416,2.115175,12.7369,7.7606,4.9717,36.193775,3.58115,4.1146,7.603375
49.003375,2.125925,13.001725,7.7691,4.997775,36.320525,3.596075,4.147775,7.70585
49.03255,2.12735,13.025275,7.7779,5.02785,36.36595,3.618225,4.17945,7.804
49.0653,2.140625,13.13395,7.817375,5.056725,36.409525,3.640625,4.208125,7.8568
49.567175,2.150425,13.250225,7.866775,5.108925,36.426325,3.656325,4.23995,7.87245
49.786125,2.17365,13.2899,7.89375,5.13805,36.46935,3.670275,4.265825,7.881725
49.983075,2.19095,13.304725,7.895475,5.16025,36.543075,3.6783,4.3,7.88735
50.55565,2.216775,13.34155,7.90525,5.186525,36.652175,3.71405,4.339125,7.928025
52.1195,2.246125,13.393925,7.917325,5.222275,36.7237,3.748225,4.374975,7.941425
52.2971,2.264175,13.474175,7.96675,5.249375,36.795,3.7696,4.39955,7.953825
52.526675,2.28675,13.600975,8.02815,5.26835,36.8454,3.81925,4.478725,8.0333
52.75635,2.302175,13.631425,8.10235,5.27265,36.905375,3.84185,4.499975,8.100425
53.229175,2.334875,13.6509,8.12225,5.2974,36.99155,3.8746,4.517975,8.152575
53.6506,2.3636,13.81705,8.1636,5.31935,37.039375,3.8876,4.537825,8.18925
54.8429,2.36875,13.9004,8.249875,5.36155,37.083225,3.9042,4.5552,8.243075
55.43075,2.3776,13.986375,8.296775,5.3739,37.136675,3.94555,4.5883,8.3158
56.014325,2.388025,14.067175,8.352125,5.397575,37.17385,3.968925,4.618875,8.34895
56.280775,2.401175,14.13605,8.3953,5.4214,37.29165,3.9874,4.646025,8.3896
57.097275,2.420475,14.275375,8.4771,5.447125,37.346025,4.03165,4.675525,8.510825
57.731825,2.441575,14.335825,8.552275,5.4739,37.415475,4.05305,4.69135,8.596125
57.90905,2.4695,14.37195,8.651375,5.50775,37.469975,4.079625,4.72735,8.657575
58.064725,2.4904,14.41375,8.668825,5.5434,37.517825,4.1103,4.742625,8.678425
58.142575,2.510275,14.453425,8.685425,5.5747,37.630225,4.1298,4.813125,8.748725
58.43375,2.54165,14.5538,8.7108,5.60775,37.714775,4.1465,4.8498,8.772425
58.633175,2.5603,14.587975,8.805175,5.63435,37.79985,4.1651,4.890925,8.795125
58.921725,2.588,14.688775,8.820375,5.66045,37.824275,4.1873,4.9292,8.819575
59.138275,2.600975,14.721125,8.832025,5.679025,37.8738,4.212,4.9508,8.840675
59.708975,2.6292,14.768575,8.853075,5.719825,37.936725,4.23675,4.9909,8.95785
59.772775,2.64185,14.786175,8.871475,5.73905,37.9665,4.2604,4.99665,9.000025
60.195525,2.653975,14.8489,8.876725,5.7873,38.004825,4.280275,5.0261,9.075525
60.2511,2.668775,14.897775,8.8984,5.8404,38.0874,4.312875,5.057575,9.076775
60.40155,2.676375,15.10255,8.908625,5.89815,38.135225,4.350775,5.0806,9.095725
60.6506,2.697,15.1848,8.947975,5.923125,38.18995,4.370575,5.12425,9.100875
60.989575,2.710625,15.2074,8.95875,5.930525,38.220975,4.387725,5.149575,9.14445
61.2892,2.7228,15.27055,8.967025,5.9788,38.268475,4.40975,5.218475,9.202775
65.748425,2.7472,15.32725,9.025175,6.010475,38.3333,4.4367,5.237675,9.21745
65.789125,2.7616,15.39115,9.052175,6.036425,38.404775,4.46265,5.25135,9.28935
67.2101,2.772425,15.5586,9.079475,6.085525,38.444425,4.49325,5.266675,9.331825
67.790425,2.788,15.609825,9.11185,6.125625,38.509425,4.51955,5.314325,9.43295
67.96175,2.80415,15.675475,9.129025,6.1623,38.556525,4.5426,5.33355,9.5043
68.082875,2.82135,15.738875,9.155425,6.185025,38.5909,4.5674,5.35465,9.536675
68.30765,2.849125,15.890425,9.163675,6.2039,38.716325,4.574175,5.37905,9.567325
68.42895,2.858725,15.933075,9.24325,6.230175,38.7501,4.5869,5.4304,9.604575
70.2661,2.8696,16.06915,9.281875,6.254525,38.7845,4.611625,5.470975,9.647175
70.540075,2.8859,16.105175,9.35975,6.28585,38.89715,4.6321,5.489375,9.6752
70.6607,2.89735,16.18355,9.4423,6.305425,38.9379,4.69475,5.52475,9.766425
71.247075,2.908075,16.228875,9.47925,6.334375,38.972775,4.712325,5.5453,9.80765
71.501725,2.9141,16.24995,9.874725,6.3605,39.0281,4.76665,5.624075,9.830525
71.575275,2.928125,16.3537,9.89035,6.3827,39.099275,4.7817,5.64785,9.864375
71.828,2.93995,16.4669,9.955325,6.4097,39.15875,4.80095,5.6622,9.89715
79.20015,2.94835,16.493,9.97275,6.4339,39.256875,4.8154,5.68965,9.9171
81.100125,2.9558,16.538275,10.050725,6.463475,39.3393,4.83795,5.7162,10.0026
81.583625,2.96255,16.582575,10.088575,6.489275,39.390325,4.85625,5.76825,10.07445
82.226575,2.9717,16.65015,10.377925,6.521425,39.4347,4.8672,5.78195,10.115725
83.00465,2.979,16.69865,10.435875,6.5491,39.4724,4.88715,5.8162,10.119925
86.13155,3.00765,16.730575,10.529875,6.58535,39.516575,4.908325,5.835325,10.151775
86.78305,3.01365,16.856025,10.543725,6.61675,39.56645,4.929475,5.873175,10.179675
87.955825,3.019475,16.868275,10.60125,6.654175,39.596,4.9485,5.902925,10.251525
88.40685,3.023925,16.94,10.648975,6.6915,39.668125,4.968775,5.952825,10.301
88.6774,3.02925,16.9458,10.671925,6.7278,39.711325,4.988925,5.976475,10.35945
89.307325,3.03465,16.947575,10.85505,6.7526,39.818925,5.009025,6.004,10.384375
90.05265,3.03985,16.966175,10.907775,6.7876,39.846975,5.02455,6.025,10.430875
90.110725,3.045525,16.989675,11.24865,6.818325,39.8833,5.046875,6.0532,10.536875
90.9203,3.052075,17.012225,11.26405,6.857925,39.9318,5.071725,6.071625,10.563975
92.15365,3.05855,17.1081,11.412125,6.87695,39.98315,5.09475,6.093175,10.729525
92.227925,3.0736,17.2925,11.4447,6.900575,40.023025,5.121975,6.105525,10.7532
92.53565,3.084525,17.42155,11.471825,6.929525,40.07375,5.149575,6.144625,10.80805
93.358525,3.0933,17.475925,11.57865,6.959275,40.142375,5.178,6.15625,10.8447
93.644375,3.106225,17.5134,11.8048,6.983025,40.20245,5.198225,6.1697,10.89995
94.255475,3.1131,17.567575,11.838275,7.003525,40.236375,5.2196,6.18735,10.96825
94.734825,3.135925,17.60645,11.886725,7.030525,40.276725,5.235675,6.19875,10.991925
95.074375,3.143575,17.6368,11.9512,7.062425,40.3722,5.28675,6.23565,11.079275
95.368625,3.151325,17.781175,12.0471,7.095225,40.408325,5.309425,6.2541,11.175075
95.69465,3.1585,17.828975,12.100275,7.155025,40.461825,5.3268,6.285125,11.192025
96.7667,3.161125,18.01775,12.12735,7.182175,40.5193,5.350025,6.31265,11.257025
97.047025,3.165975,18.063525,12.192725,7.208975,40.5596,5.370575,6.3363,11.330525
97.486425,3.174875,18.188375,12.4124,7.24495,40.6262,5.39475,6.354725,11.356125
97.9096,3.1795,18.3209,12.6108,7.279375,40.66705,5.426475,6.409175,11.387125
98.700625,3.186875,18.4012,12.6562,7.32125,40.7259,5.4528,6.4721,11.437625
98.904875,3.19425,18.4566,12.74535,7.348,40.756,5.4772,6.493325,11.4578
98.982775,3.201525,18.62215,12.778825,7.373825,40.810625,5.499475,6.5365,11.4664
99.31235,3.2148,18.754525,12.7913,7.405225,40.850525,5.52335,6.584975,11.507775
99.470925,3.220275,19.028775,12.84245,7.46615,40.8858,5.544425,6.6091,11.568275
99.571925,3.2261,19.338925,12.917425,7.4913,40.917925,5.565775,6.626925,11.68175
99.70185,3.232275,19.51425,13.008375,7.523075,41.00625,5.60935,6.66835,11.713075
99.738225,3.2392,19.5469,13.029525,7.54155,41.04955,5.633475,6.7129,11.774575
99.8654,3.245675,19.71015,13.045375,7.569025,41.104675,5.659625,6.735175,11.80035
100.093375,3.25195,19.7351,13.0844,7.594475,41.183775,5.674325,6.7598,11.86625
100.159725,3.260675,19.800375,13.196925,7.62855,41.222425,5.69855,6.787025,11.873575
101.8016,3.26545,19.841025,13.228325,7.65615,41.29065,5.721275,6.80535,11.9003
102.12135,3.272625,19.88535,13.2356,7.677775,41.343725,5.75985,6.818675,11.964
102.4256,3.2781,19.9449,13.240975,7.71855,41.439925,5.78205,6.890125,12.00185
102.687025,3.284975,20.098275,13.33175,7.742675,41.519075,5.79945,6.93235,12.04455
102.895125,3.3024,20.100925,13.351575,7.80315,41.575475,5.82325,6.95325,12.1439
103.048975,3.311275,20.133875,13.37925,7.822675,41.635225,5.83535,6.9794,12.1721
103.21605,3.327075,20.158,13.44775,7.84325,41.748225,5.84775,7.00875,12.193
103.542825,3.33585,20.274325,13.451325,7.90135,41.815275,5.863025,7.03355,12.23175
103.627725,3.3434,20.36035,13.476225,7.95585,41.8647,5.882975,7.07145,12.2883
103.745625,3.348425,20.4769,13.5346,7.985075,41.92495,5.90165,7.124775,12.398975
