SPK_SPKC01a,SPK_SPKC06a,SPK_SPKC06b,SPK_SPKC08a,SPK_SPKC13a,SPK_SPKC13b
364.6488,,313.46405,311.790025,336.8257,349.7628
364.97605,,313.50955,311.83315,336.841125,349.77105
365.02675,,313.543075,311.839925,336.8917,349.775775
365.554725,,313.56985,311.85415,337.02335,349.798975
365.840275,,313.59495,311.8814,337.06035,349.88605
365.853225,,313.613675,311.885725,337.16605,349.9092
365.920625,,313.6389,311.89225,337.3092,350.015775
365.971025,,313.655575,311.899125,337.334325,350.112975
366.044725,,313.673725,311.912225,337.382575,350.16025
366.054675,,313.68805,311.9388,337.4885,350.179875
366.070325,,313.703925,311.94505,337.5,350.466925
366.173225,,313.7366,311.966375,337.704875,350.73965
366.298025,,313.821125,311.9766,337.802125,350.93505
366.337625,,313.84055,311.984525,337.821825,351.038525
366.47545,,313.88965,312.012875,337.82825,351.221175
366.745675,,313.920075,312.026575,338.0777,351.61455
367.055575,,313.962725,312.0434,338.38345,351.832275
367.067525,,313.98285,312.056,338.428625,351.8801
367.20575,,314.0019,312.072575,338.494425,352.1019
367.3023,,314.01315,312.0798,338.514925,352.14365
367.383275,,314.038425,312.08635,338.887175,352.227875
367.4749,,314.085275,312.108175,338.96035,352.5246
367.564675,,314.094475,312.1326,339.03445,352.755025
367.6794,,314.118325,312.149325,339.0651,352.83115
367.851975,,314.148875,312.165425,339.1387,353.013675
367.958925,,314.187275,312.175275,339.173925,353.04745
368.3094,,314.223525,312.18345,339.248875,353.075975
368.3438,,314.247225,312.212875,339.329175,353.144325
368.5472,,314.2664,312.226625,339.484275,353.4016
368.9442,,314.284125,312.248125,339.5789,354.0102
369.6042,,314.306025,312.27735,339.7068,354.219575
369.741925,,314.336375,312.302125,339.8273,354.3345
369.802,,314.383575,312.32155,339.849075,354.580475
369.8259,,314.456,312.4068,339.88325,354.590325
369.847075,,314.4787,312.43515,339.956525,354.67495
370.218475,,314.517375,312.459825,339.968975,354.721575
370.25375,,314.5408,312.46895,340.30525,354.744275
370.651175,,314.57755,312.4783,340.3595,354.79055
370.67715,,314.641775,312.483825,340.376975,354.811725
370.75835,,314.691425,312.487425,340.408175,354.8247
370.817475,,314.74875,312.489025,340.415125,354.833
371.70715,,314.788575,312.49595,340.426425,354.8789
371.73395,,314.83745,312.5004,340.45485,354.91115
371.762975,,314.877425,312.51815,340.490825,354.955725
371.807,,314.9193,312.5434,340.596125,354.99235
371.814725,,314.9759,312.549275,340.75755,355.088275
371.901975,,315.021875,312.561025,340.7914,355.093575
372.0613,,315.04775,312.5861,340.88715,355.2066
