SPK_SPKC01a,SPK_SPKC07a,SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC15a
20.69405,30.172025,8.105725,38.890575,9.22235
20.802575,30.276975,8.134525,38.929325,9.242
20.826875,30.38665,8.15695,38.95785,9.254025
20.83515,30.392425,8.178,38.973225,9.2688
20.842875,30.441225,8.195,39.003725,9.302125
20.856925,30.46235,8.210825,39.064075,9.312625
20.867225,30.541125,8.23645,39.0937,9.32005
20.87365,30.63435,8.24915,39.1322,9.338575
20.8995,30.757525,8.271075,39.15675,9.344575
20.932125,30.78465,8.3014,39.231725,9.350125
20.9655,30.79765,8.3416,39.3644,9.358125
20.994475,30.8142,8.38465,39.68305,9.382075
21.0173,31.069025,8.4149,39.7332,9.409475
21.238625,31.137925,8.469525,39.856875,9.4214
21.264475,31.17665,8.4848,39.9196,9.4358
21.290975,31.2724,8.503075,39.96645,9.475
21.3145,31.392125,8.5224,39.986325,9.48795
21.340275,31.403575,8.54265,40.000375,9.51295
21.368875,31.420025,8.5599,40.05285,9.52275
21.425475,31.445,8.6023,40.054225,9.540475
21.44125,31.542225,8.62665,40.150375,9.56415
21.4459,31.70275,8.646775,40.4364,9.58165
21.470425,31.7376,8.7076,40.441425,9.5925
21.47215,31.78145,8.73895,40.451075,9.6016
21.49285,31.866325,8.759,40.480475,9.61575
21.503025,31.962175,8.790425,40.496,9.626
21.632225,32.07,8.8118,40.514525,9.641375
21.84325,32.112075,8.843925,40.559025,9.683575
21.864625,32.171425,8.86685,40.5799,9.7061
21.90825,32.204275,8.892575,40.608025,9.72045
21.923475,32.247425,8.9308,40.81725,9.735475
21.9906,32.298075,8.9626,40.828575,9.746225
22.047775,32.374975,8.9874,40.842075,9.78495
22.0923,32.431625,9.01615,40.884575,9.800525
22.452975,32.493725,9.0512,40.9108,9.844825
22.466425,32.5534,9.069375,40.9307,9.853675
22.494625,32.574,9.092,40.953125,9.86135
22.58545,32.61885,9.10845,41.247825,9.87
22.853,32.6582,9.126025,41.286925,9.876775
23.068325,32.68155,9.1472,41.302475,9.9227
23.23705,32.703725,9.16815,41.358075,9.953125
23.29525,32.753275,9.186025,41.4013,10.00105
23.318325,32.815875,9.200675,41.49175,10.029375
23.394975,32.90715,9.233575,41.544275,10.0385
23.481425,32.95425,9.257725,41.605525,10.045175
23.521425,32.972875,9.278125,41.671625,10.05175
23.57115,32.98985,9.2988,41.692175,10.070975
23.621875,33.006825,9.328025,41.861875,10.166475
23.728675,33.10145,9.35285,41.8848,10.1803
23.7489,33.15925,9.384275,41.915625,10.19985
23.7711,33.235525,9.41165,41.96105,10.246025
23.8021,33.34185,9.435525,42.04035,10.259575
23.855425,33.402,9.4945,42.0856,10.270425
