SPK_SPKC02a,SPK_SPKC06a,SPK_SPKC12a,SPK_SPKC13b
4261.157175,4234.01285,4118.1676,4121.723
4261.21915,4234.35305,4118.252,4121.810225
4261.67395,4235.0176,4118.362325,4121.851425
4262.05085,4238.5884,4118.409475,4121.966925
4262.608575,4239.69665,4118.4626,4122.005325
4262.936525,4240.721475,4118.577125,4122.110475
4263.041925,4240.8623,4118.6614,4122.201875
4263.59965,4241.0061,4118.7363,4122.26935
4263.907475,4241.8394,4118.83015,4122.398425
4265.08115,4242.0362,4118.907425,4122.576
4265.61315,4242.2168,4119.106275,4122.878775
4267.911325,4242.54545,4119.173025,4123.004575
4268.411025,4242.63745,4119.373375,4123.061425
4269.701125,4242.73485,4119.469525,4123.09255
4270.346725,4243.22235,4119.53855,4123.147425
4271.643725,4243.353725,4119.613575,4123.210675
4271.9765,4243.456875,4119.723375,4123.256025
4272.43215,4243.9642,4119.801275,4123.27965
4272.603525,4243.982175,4119.89055,4123.322525
4272.694875,4244.097875,4119.97,4123.3688
4273.075075,4244.577175,4120.06395,4123.440175
4273.323375,4244.748725,4120.115125,4123.491925
4273.514475,4245.836375,4120.142075,4123.531175
4273.6508,4246.032625,4120.222275,4123.572175
4274.18115,4246.556225,4120.27465,4123.62815
4274.2363,4246.79735,4120.3297,4123.6931
4274.31725,4246.86205,4120.3727,4123.718625
4274.5266,4247.215725,4120.4824,4123.7849
4274.869475,4248.9444,4120.588675,4123.81115
4275.249575,4249.947625,4120.623275,4123.831025
4275.65515,4250.05255,4120.738725,4123.863175
4275.793025,4250.99025,4120.78375,4123.887475
4276.405325,4251.095525,4120.9035,4123.989325
4276.5647,4251.284675,4120.98975,4123.994225
4277.533375,4251.50255,4121.079925,4124.017025
4277.65425,4251.60575,4121.140825,4124.091975
4277.7918,4251.718875,4121.2067,4124.166975
4278.28825,4251.75685,4121.2452,4124.24095
4278.606125,4254.75235,4121.430425,4124.273425
4278.997975,4256.465625,4121.564375,4124.3057
4279.5145,4256.557625,4121.639675,4124.4275
4280.19825,4256.8527,4121.673325,4124.482375
4280.28735,4256.9789,4121.722925,4124.5119
4280.396025,4257.0682,4121.81015,4124.537925
4280.60625,4257.242425,4121.851375,4124.564325
4281.109025,4257.33265,4121.9669,4124.604225
4281.176175,4257.36495,4122.005275,4124.63245
4282.35485,4258.493375,4122.110425,4124.68425
4283.0388,4258.54655,4122.201825,4124.784275
4284.2676,4258.641,4122.2693,4124.80005
4289.3908,4259.6447,4122.398425,4124.88635
4289.7441,4260.267,4122.575975,4124.925325
4290.101875,4260.533,4122.878725,4125.047375
4290.4808,4260.809875,4123.004525,4125.165925
4291.21215,4261.00875,4123.0614,4125.509875
4291.559825,4262.051425,4123.0925,4125.5694
4292.600925,4262.556225,4123.147375,4125.6154
4292.902225,4262.7393,4123.2106,4125.6297
4293.043775,4263.127175,4123.255975,4125.6525
4293.23205,4264.052325,4123.279575,4125.6892
4293.6759,4264.475475,4123.322475,4125.6984
4294.220675,4264.926025,4123.368725,4125.731825
4294.8846,4265.102025,4123.440125,4125.760625
4295.709925,4265.59715,4123.491875,4125.79025
4296.992475,4266.0435,4123.531125,4125.806575
4297.445825,4266.564625,4123.57215,4125.83285
4297.752975,4266.68235,4123.6281,4125.8745
4297.972825,4266.9347,4123.69305,4125.9333
4299.32845,4267.2957,4123.71855,4125.978175
,4268.6837,4123.78485,4125.9943
,4269.482325,4123.811075,4126.026025
,4269.6503,4123.830975,4126.0671
,4270.4586,4123.86315,4126.098925
,4271.611,4123.88745,4126.121725
,4272.5583,4123.9893,4126.187625
,4272.5832,4124.016975,4126.1962
,4272.829875,4124.091925,4126.220725
,4273.02135,4124.166925,4126.33775
,4273.140725,4124.240875,4126.481825
,4273.579125,4124.273425,4126.53115
,4274.179225,4124.30565,4126.7365
,4274.36075,4124.364325,4126.87785
,4274.544825,4124.4275,4126.9601
,4274.5768,4124.4823,4127.06505
,4274.648175,4124.5118,4127.1685
,4274.96875,4124.537875,4127.199925
,4275.051975,4124.564275,4127.28975
,4275.33545,4124.604125,4127.501875
,4275.476175,4124.632375,4127.5444
,4275.5763,4124.6842,4127.56745
,4275.745,4124.7344,4127.597
,4276.1103,4124.784225,4127.63435
,4276.183175,4124.8,4127.66235
,4276.527,4124.886325,4127.713275
,4276.63065,4124.9253,4127.945975
,4277.0846,4125.0473,4128.147475
,4277.321525,4125.165875,4128.191325
,4277.3388,4125.5098,4128.5091
,4277.675775,4125.56935,4128.63605
,4277.9636,4125.615375,4128.6826
,4278.1082,4125.6296,4128.7195
,4278.374175,4125.65245,4128.799425
,4278.7772,4125.68915,4128.834825
,4278.946275,4125.69835,4128.87595
,4279.51235,4125.71995,4128.8984
,4279.51485,4125.731775,4128.939675
,4279.549375,4125.760575,4129.0325
,4279.81985,4125.790175,4129.140225
,4279.8772,4125.806525,4129.15625
,4279.90775,4125.83275,4129.172125
,4280.18255,4125.87445,4129.193175
,4280.205125,4125.93325,4129.208
,4280.2641,4125.978125,4129.261425
,4280.2923,4125.994275,4129.31115
,4280.406725,4126.025975,4129.326125
,4280.634025,4126.067,4129.370275
