SPK_SPKC06a (excited),SPK_SPKC06b (no effect),SPK_SPKC12a (NA)
9.918775,39.137575,5.58685
9.95555,39.432875,5.5881
9.9718,39.587925,5.5927
9.9878,39.7931,5.600175
10.002725,40.0443,5.610975
10.018825,40.13585,5.633125
10.034175,40.229875,5.65615
10.04685,40.37455,5.661325
10.0831,40.49825,5.668775
10.104675,40.82835,5.677125
10.1179,40.89725,5.6851
10.143775,41.16875,5.702025
10.174975,41.19745,5.7165
10.183075,41.4163,5.73135
10.1937,41.43935,5.761875
10.2918,41.55725,5.7795
10.33545,41.837075,5.78645
10.351775,41.985825,5.7956
10.3666,42.09435,5.8084
10.387125,42.100525,5.8151
10.4028,42.108575,5.8206
10.416475,42.139325,5.826925
10.431025,42.176125,5.852075
10.444825,42.20115,5.8583
10.452375,42.295125,5.867775
10.49915,42.334975,5.875175
10.508325,42.508225,5.908225
10.519575,42.54915,5.918425
10.57525,42.601625,5.9339
10.586625,42.64565,5.940075
10.59955,42.899925,5.947625
10.61245,43.131,5.9563
10.648425,43.174825,5.981825
10.659675,43.445375,5.994675
10.708775,43.45065,6.002275
10.721825,43.7236,6.017175
10.7347,43.81275,6.024775
10.743375,43.85,6.04025
10.7527,44.5364,6.0542
10.760975,44.5827,6.060675
10.779525,44.606225,6.082425
10.788825,44.682525,6.10325
10.81395,44.818875,6.1125
10.8274,44.900225,6.1443
10.836625,45.492075,6.1528
10.846325,45.512625,6.16905
10.863625,45.5348,6.18535
10.904725,45.599175,6.1996
11.00025,45.7028,6.212825
11.0215,45.736575,6.21765
11.033925,45.754725,6.223375
11.051875,45.998825,6.2315
11.06375,46.048375,6.238525
11.075425,46.217425,6.260875
11.0916,46.25055,6.268775
11.10485,46.27755,6.2775
11.148475,46.36595,6.31925
11.199375,46.6108,6.325825
11.22375,46.70225,6.333275
11.245775,46.790225,6.35065
11.259025,46.927975,6.357275
11.33205,46.96425,6.3855
11.42365,46.988575,6.3927
11.454425,46.99915,6.399625
11.470225,47.06995,6.420625
11.5029,47.113325,6.4315
11.521075,47.12745,6.4538
11.535125,47.195125,6.473425
11.5514,47.20115,6.490375
11.56625,47.2748,6.504875
11.5914,47.29605,6.5326
11.615575,47.344425,6.537925
11.647975,47.3951,6.5435
11.6818,47.464025,6.558975
11.7171,47.500325,6.5715
11.76955,47.622275,6.5863
11.79755,47.733125,6.618925
11.82375,47.751825,6.63675
11.860475,47.796425,6.644375
11.8834,47.835125,6.663725
11.905475,48.102325,6.6659
11.920675,48.1713,6.6754
11.9597,48.283975,6.696475
11.976425,48.349325,6.70465
12.02565,48.5253,6.713025
12.046525,48.5433,6.72105
12.12955,48.715575,6.73865
12.1453,48.946775,6.747525
12.17165,49.29835,6.765425
12.18315,49.5616,6.774525
12.203425,49.62605,6.78735
12.22625,49.765775,6.806
12.253875,49.799625,6.816675
12.27675,49.811825,6.82735
12.31755,49.957525,6.833025
12.359675,50.1589,6.859125
12.37725,50.1877,6.869425
12.415075,50.233325,6.9019
12.43605,50.35325,6.923375
12.463675,50.425575,6.938075
12.4822,50.818475,6.957725
12.58225,51.2399,6.974225
12.626825,51.25665,6.985875
12.660825,51.3814,7.001675
12.677075,51.6686,7.0277
12.69545,51.711625,7.0396
12.739,51.8617,7.052625
12.7699,51.88345,7.095225
12.78485,52.0615,7.11965
12.84965,52.204225,7.137925
12.867575,52.231925,7.166875
12.8801,52.33945,7.18675
12.89505,52.363975,7.20895
12.9099,52.4851,7.2312
12.919925,52.526875,7.2365
12.9569,52.584875,7.2566
12.972225,52.665425,7.27465
12.99655,52.886975,7.308775
13.0203,52.99205,7.325425
13.067,53.086375,7.3524
13.084525,53.143525,7.3707
13.103875,53.17915,7.39485
13.12705,53.209025,7.428525
13.147675,53.32565,7.44535
13.180625,53.454075,7.4615
13.1962,53.482925,7.477925
13.2069,53.69685,7.494175
13.2191,53.894675,7.5141
13.230575,53.990175,7.532675
13.243275,54.15835,7.55475
13.2559,54.2198,7.583775
13.3132,54.499425,7.5999
13.38955,54.514125,7.6206
13.4165,54.674425,7.6346
13.43695,54.83145,7.660925
13.45895,54.9142,7.6916
13.487175,55.045925,7.74415
13.5232,55.106475,7.8025
13.540525,55.12375,7.8541
13.586975,55.172575,7.871375
13.608925,55.33055,7.890825
13.63605,55.3632,7.892375
13.658125,55.4649,7.92785
