SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC02c,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC06a,SPK_SPKC06b,SPK_SPKC07a,SPK_SPKC09a
11.4476,8.649625,7.784775,11.8406,8.37825,14.376125,7.83115,4.654375,16.94415
11.66995,8.6777,7.902025,11.930925,8.419175,14.439425,7.925375,4.658775,16.981625
11.685025,8.686625,8.320275,11.991575,8.553775,14.500325,7.96795,4.679,17.03275
11.7008,8.861525,8.3812,12.030175,8.598025,14.538375,7.98215,4.683625,17.083025
11.7251,8.8929,8.743225,12.13645,8.62835,14.7087,8.0091,4.69325,17.100475
11.845125,8.966225,8.836325,12.335975,8.7022,15.01865,8.029375,4.698975,17.55165
11.909025,9.0622,8.859475,12.43415,8.734425,15.10275,8.128425,4.71015,17.64335
11.914575,9.0925,8.8845,12.4979,8.774775,15.183325,8.149425,4.7295,17.7252
11.971175,9.1418,8.9183,12.584075,8.868875,15.258675,8.199375,4.733275,17.785825
12.216925,9.187075,8.956275,12.629325,8.967125,15.31385,8.2496,4.738375,17.85465
12.241625,9.259625,9.004975,12.69265,9.002925,15.362425,8.296425,4.748375,17.909125
12.37495,9.300525,9.02545,12.84595,9.035675,15.470775,8.32785,4.822875,18.04965
12.4552,9.430075,9.053625,12.881975,9.084025,15.595375,8.373,4.842575,18.106
12.64345,9.470375,9.070625,12.998525,9.123375,15.774725,8.431025,4.874175,18.1521
12.69335,9.565575,9.111825,13.055625,9.2449,15.902275,8.50875,4.884625,18.210175
12.813225,9.6014,9.132425,13.109,9.2882,16.1649,8.562625,4.909425,18.21575
12.96605,9.718475,9.176975,13.1864,9.311025,16.224475,8.577925,4.9144,18.2473
13.438625,9.75645,9.2405,13.2345,9.363525,16.35725,8.61345,4.9351,18.3962
13.53395,9.83305,9.264325,13.411225,9.39075,16.435575,8.63175,4.97625,18.399375
13.604975,9.861725,9.3978,13.43695,9.5625,16.5133,8.644625,4.9796,18.45685
13.649375,9.9142,9.456325,13.5004,9.605225,16.924725,8.668925,5.002125,18.538475
13.6803,9.931675,9.48975,13.570925,9.696575,17.02275,8.718925,5.0228,18.596225
13.8546,10.0076,9.580925,13.676475,9.7877,17.0636,8.779025,5.048275,18.67935
13.88705,10.082425,9.606125,13.689,9.80925,17.12095,8.8835,5.07135,18.732925
13.903825,10.320125,9.6246,13.7213,9.855775,17.200225,8.912925,5.092,18.84635
14.0087,10.34285,9.64935,13.79795,9.912725,17.261675,8.96265,5.100625,18.85
14.0116,10.365525,9.67055,13.910025,9.980375,17.39845,9.044975,5.1511,19.363575
14.0151,10.38155,9.69095,13.987675,10.037325,17.482725,9.14825,5.16315,19.51155
14.0471,10.4057,9.707225,14.03875,10.074175,17.5571,9.186825,5.2133,19.942575
14.086125,10.4109,9.73515,14.1098,10.1972,17.6259,9.2213,5.257825,20.0038
14.13975,10.44265,9.7777,14.1945,10.2615,17.753525,9.273875,5.275875,20.05275
14.194275,10.5047,10.097725,14.324725,10.31425,17.868525,9.2985,5.2953,20.152825
14.200075,10.554775,10.147525,14.4113,10.39935,17.929375,9.32875,5.301925,20.163225
14.238775,10.6125,10.186975,14.5399,10.455925,17.999425,9.33055,5.337,20.250225
14.3607,10.660825,10.204025,14.6824,10.501325,18.07685,9.37405,5.374175,20.27745
14.398825,10.690875,10.2309,14.731825,10.54385,18.130725,9.518575,5.387475,20.414725
14.545725,10.748625,10.252925,14.915625,10.5536,18.16725,9.60045,5.4121,20.454475
14.713075,10.8152,10.28465,15.17025,10.76305,18.3192,9.664775,5.495025,20.46215
14.805375,10.991475,10.305425,15.281175,10.839275,18.3923,9.70885,5.51975,20.5484
14.860525,11.083025,10.326575,15.350575,10.86755,18.5312,9.8103,5.55065,20.551425
