SPK_SPKC08a (inh/exc),SPK_SPKC08b (inhi/exc),SPK_SPKC10a (inhi),SPK_SPKC14a (inhi)
148.875825,145.839925,114.467475,221.67585
149.0411,145.973275,114.499725,221.74285
149.23425,146.145975,114.539425,222.022075
149.240625,146.235675,114.56755,222.0878
150.427775,146.54585,114.594825,222.12185
151.1244,146.64385,114.618075,222.20345
151.93355,146.768425,114.6872,222.38855
152.195675,146.97255,114.712475,222.448925
152.836475,147.0447,114.745325,222.7514
152.991925,147.17715,114.816325,222.820925
152.99335,147.273525,114.856575,223.4014
153.17635,147.364825,114.886525,224.0401
153.637175,147.471725,114.939375,224.2879
153.710375,147.74625,114.978925,224.37375
153.94425,147.850975,115.0479,224.471225
154.6258,147.9411,115.07755,225.329
154.701,148.090975,115.09925,225.749925
154.799125,148.192125,115.193575,226.25765
155.41085,148.354075,115.236125,226.4103
155.6992,148.523775,115.30475,226.769125
156.128,148.6425,115.331925,226.8341
156.2035,148.8036,115.356375,226.87495
156.54535,148.948525,115.387025,226.927
156.907,149.055625,115.464975,226.9818
156.919,149.3222,115.483675,227.422125
157.217375,149.50405,115.5021,227.55265
157.858175,149.60495,115.549875,227.65345
158.066225,149.6148,115.6477,227.72255
158.3287,149.7086,115.68085,227.784575
158.719875,149.877975,115.7391,228.259625
159.168225,149.960275,115.7585,228.419475
159.461425,150.10225,115.784425,228.53105
159.5559,150.21615,115.804975,229.1633
159.738925,150.348325,115.82395,229.48695
159.883475,150.473825,115.85105,229.56455
160.03345,150.57925,115.867525,229.63755
160.576825,150.7218,115.888225,229.819775
160.665275,150.85015,115.910325,230.235075
160.67095,150.959025,115.9832,230.3807
160.8838,151.04805,116.112125,230.529125
161.028225,151.17005,116.1493,230.6659
161.27925,151.261325,116.20345,230.746825
161.340275,151.367875,116.265625,231.05415
161.593925,151.617225,116.298,231.627175
161.7454,151.745675,116.32315,231.945975
161.879775,151.9098,116.360225,232.25305
161.987375,152.0738,116.389575,232.39945
162.01705,152.24835,116.4484,232.594575
162.276175,152.303325,116.471875,232.74945
162.5854,152.3645,116.523925,232.809825
162.743675,152.373725,116.56875,232.87545
162.7908,152.49005,116.6125,233.185875
162.85585,152.5843,116.63885,233.228125
162.967975,152.682025,116.6678,234.01205
163.185675,152.780925,116.682425,234.12305
163.399575,153.108775,116.707425,234.53855
163.42855,153.265875,116.7349,234.69945
163.54825,153.39875,116.76395,234.7622
163.8627,153.631725,116.8142,234.83115
164.029075,153.70555,116.847875,235.300525
164.298325,153.8333,116.861825,235.4298
164.39845,154.2488,116.86985,235.9065
164.53305,154.489825,116.891725,235.977325
165.14135,154.590275,116.93055,236.03775
165.15475,154.7979,117.03265,236.59065
165.5424,154.9511,117.053175,236.63265
165.981975,155.09425,117.079375,236.672175
166.2528,155.225875,117.11055,236.754825
166.457175,155.353875,117.229175,236.87565
166.58765,155.4317,117.259875,236.9416
166.722875,155.492275,117.291175,236.96785
166.808575,155.59515,117.3206,237.029875
166.8215,155.785625,117.342775,237.5852
167.43375,155.939275,117.44335,237.7413
168.371475,156.050325,117.469575,237.97885
168.57935,156.16715,117.525725,238.451975
168.68385,156.459225,117.55415,238.490175
168.736225,156.57115,117.59905,238.56255
168.81005,156.8329,117.65325,239.0104
169.04635,156.912125,117.670325,239.264
169.31735,156.980375,117.7299,239.364875
169.43535,157.2088,117.764025,239.46955
169.75245,157.434825,117.839675,239.562275
170.101775,157.60815,117.87265,239.796825
170.416525,157.6865,117.89935,240.5011
170.887825,157.976925,117.912925,240.98425
171.3568,158.133325,117.93235,242.054475
171.696025,158.232575,117.96685,242.10535
172.043475,158.336775,117.99845,242.72565
172.144525,158.46095,118.0255,242.851525
172.30905,158.581925,118.117925,243.24675
172.46895,158.740525,118.150525,243.554
172.791775,158.831125,118.195025,243.633975
173.062175,158.929825,118.22125,244.1356
174.0824,159.02315,118.24775,244.2091
174.115875,159.107875,118.2894,244.634925
174.587775,159.182,118.4056,246.06185
174.9427,159.3097,118.428375,246.395375
175.05045,159.616625,118.45545,246.477
175.252175,159.7266,118.485825,246.528025
175.5328,160.1642,118.5459,246.997375
175.76245,160.289175,118.624575,247.21795
175.7884,160.532925,118.652825,247.2732
175.911875,160.7517,118.679225,247.542075
176.598775,160.8044,118.723375,247.642525
176.75985,160.861725,118.73965,247.687175
177.099725,160.984725,118.77885,247.728
177.586975,161.095,118.832725,247.816925
178.008775,161.18705,118.9263,248.08305
178.47885,161.36165,119.008775,248.477975
178.7015,161.485175,119.035825,248.52285
178.7533,161.559425,119.157225,248.574
