SPK_SPKC04a,SPK_SPKC07a,SPK_SPKC11a,SPK_SPKC11d,SPK_SPKC12a,SPK_SPKC13b,SPK_SPKC14a
212.12515,210.856425,203.15235,244.659275,208.554275,217.194925,203.293175
212.1279,210.89435,203.171525,245.1207,208.567,217.416375,203.302625
212.22975,210.927775,203.1898,246.5488,208.57415,217.4679,203.316175
212.489375,210.9473,203.21755,247.463875,208.625575,217.553425,203.351175
212.561975,211.06885,203.24555,247.666125,208.63735,217.589725,203.4434
212.59455,211.112775,203.257625,247.683225,208.6603,217.625125,203.454575
212.6877,211.169075,203.285325,247.936175,208.6681,217.667975,203.463375
212.867925,211.182825,203.3117,248.070175,208.68105,217.7792,203.49085
212.960575,211.29015,203.325425,248.2163,208.69495,217.821775,203.536675
212.9785,211.347475,203.347,248.24135,208.795075,218.495975,203.5398
213.0021,211.5407,203.3651,248.449075,208.804025,218.5028,203.552875
213.44635,211.672275,203.370175,248.49755,208.95785,218.53455,203.589975
213.4662,212.190775,203.381725,248.5677,209.065575,218.671975,203.619125
213.46775,212.201325,203.42195,248.993125,209.135425,218.684475,203.65565
213.5501,212.29995,203.4447,249.13605,209.1456,218.716025,203.662275
213.64645,212.52415,203.4586,249.515725,209.159425,218.842125,203.686375
213.837,212.54005,203.517825,250.051625,209.251425,219.0773,203.742675
213.935575,212.621875,203.535675,250.168475,209.3405,219.092725,203.74525
214.162325,212.6796,203.5598,250.18425,209.347725,219.155425,203.767075
214.309575,212.681175,203.5805,250.462425,209.60265,219.578125,203.782475
214.3241,212.69105,203.606325,250.594125,209.622175,219.6948,203.812175
214.43935,212.695125,203.62555,251.459425,209.65115,219.90705,203.8189
214.577525,212.69885,203.659775,251.8883,209.6547,219.918225,203.82635
214.616025,212.71175,203.679025,253.223675,209.6652,219.9308,203.840625
214.660825,212.71655,203.69435,253.5626,209.68015,220.063175,203.934
214.75525,212.7204,203.71095,254.21475,209.768075,220.12575,203.95715
214.862025,212.7957,203.733625,254.41185,209.839525,220.14665,204.003575
214.9498,212.939625,203.759925,254.5091,209.87075,220.171225,204.041475
215.081225,212.98815,203.77775,255.340025,209.8792,220.40045,204.08365
215.234775,213.0105,203.798075,256.074875,209.888225,220.474675,204.116475
215.319925,213.0256,203.816325,256.3396,209.895375,220.5187,204.125275
215.415975,213.038425,203.8334,256.584175,210.108525,220.664625,204.1299
215.52615,213.04565,203.836475,256.8092,210.113975,220.6814,204.13425
215.572825,213.071925,203.8602,256.875125,210.1233,220.752575,204.2774
215.59965,213.0733,203.889225,259.1215,210.14785,220.925775,204.338275
215.720875,213.4271,203.90845,259.149875,210.249325,220.941475,204.41415
215.831725,213.450125,203.92195,259.4973,210.267925,220.988575,204.461375
215.850125,213.51315,203.942625,259.6714,210.3078,221.015075,204.471525
215.872025,213.51425,203.9507,260.105025,210.33555,221.429225,204.6022
215.882775,213.517475,203.96395,260.633125,210.4429,221.46125,204.636625
216.11075,213.5576,203.979875,260.7066,210.6674,221.9579,204.652325
216.37705,213.64665,203.999925,261.07435,210.714825,222.073275,204.693975
216.510125,213.684625,204.0236,261.67715,210.735375,222.1783,204.7073
216.5526,213.716275,204.043075,262.61345,210.760325,222.331925,204.728475
216.555925,213.8374,204.067125,263.54215,210.8185,222.447475,204.73535
216.564275,213.9481,204.09315,264.81955,210.832275,222.47175,204.7429
216.729025,214.108,204.1221,264.83885,210.841825,222.611075,204.7533
216.856125,214.39475,204.15355,265.1657,210.9019,222.65425,204.777475
216.9639,214.603725,204.155525,265.2636,210.926125,222.83255,204.792675
