SPK_SPKC04a (inhi),SPK_SPKC08a (sharp exc?),SPK_SPKC09a (no opto-tagging)
13.920375,164.1797,7.586175
13.9503,165.047225,7.600675
13.980325,166.337225,7.62895
14.0177,169.262575,7.661975
14.057575,171.144475,7.6864
14.0963,171.351675,7.718825
14.125775,171.456675,7.7369
14.17745,173.751825,7.759325
14.228125,174.105075,7.777875
14.28185,174.7303,7.802775
14.374875,174.977475,7.82205
14.4283,175.145,7.856625
14.46495,176.0982,7.88785
14.517875,176.1797,7.91095
14.5787,176.5759,7.9445
14.6333,176.59705,7.979575
14.67055,177.084875,8.000325
14.785875,177.305575,8.0465
14.888375,177.444225,8.11815
14.95885,177.640575,8.1535
15.002375,177.698675,8.1667
15.02135,178.268375,8.190675
15.035725,178.31115,8.225125
15.06795,178.324825,8.2351
15.08465,178.381225,8.250225
15.110575,178.544125,8.27765
15.14715,178.624725,8.29505
15.18605,178.685625,8.31285
15.22875,178.804875,8.3251
15.289475,178.89005,8.33955
15.356925,178.927375,8.3666
15.408475,179.0393,8.377075
15.474675,179.1006,8.4064
15.510975,179.1338,8.433
15.5724,179.301575,8.50185
15.634325,179.33295,8.51975
15.770575,179.384975,8.542475
15.865525,179.48465,8.5606
15.948675,179.5046,8.59335
16.010275,179.5539,8.631675
16.088725,179.76725,8.64675
16.234075,179.8893,8.686025
16.30455,180.0133,8.730075
16.42785,180.100975,8.76075
16.504875,180.3886,8.804625
16.58235,180.8682,8.836025
16.62715,180.9585,8.880775
16.64545,181.06045,8.91875
16.658,181.553675,8.956725
16.6796,181.596675,9.0062
16.698275,181.706575,9.031775
16.740975,181.7576,9.057325
16.758225,181.8364,9.0726
16.783425,182.203825,9.093625
16.8112,183.2334,9.10485
16.831675,183.2468,9.121175
16.85325,183.408525,9.150225
16.868575,183.6372,9.1624
16.8961,183.7038,9.218
16.9155,183.927125,9.24185
16.94675,184.155425,9.25665
16.976225,184.596075,9.29955
17.0044,185.110725,9.31295
17.034725,185.164625,9.333275
17.05355,185.24535,9.3504
17.077325,185.418925,9.371325
17.10985,185.52505,9.390325
17.134075,186.223275,9.408125
17.169875,186.246175,9.424025
17.2348,186.77515,9.452725
17.275275,187.6892,9.471075
17.312375,188.01655,9.509575
17.377425,188.5366,9.532
17.4294,189.06775,9.557525
17.4869,190.67385,9.594075
17.542725,190.7187,9.621525
17.5613,191.56695,9.6584
17.610675,191.8136,9.706675
17.6706,197.1926,9.770625
17.728075,197.2478,9.8017
17.814725,197.324025,9.827625
17.928825,199.354075,9.868275
17.9869,,9.888575
18.042375,,9.914675
18.0648,,9.9465
18.082975,,9.968325
18.0998,,9.994475
18.129925,,10.010125
18.16255,,10.0389
18.191875,,10.051075
18.23055,,10.0709
18.2683,,10.091725
18.3228,,10.114075
18.354125,,10.15935
18.43915,,10.188725
18.512375,,10.215875
18.59855,,10.2454
18.7068,,10.287925
18.794275,,10.3298
18.855075,,10.372275
18.91995,,10.38865
18.952275,,10.413625
19.00635,,10.4338
19.0521,,10.45315
19.14335,,10.46225
19.24265,,10.474025
19.34305,,10.482575
19.39895,,10.512625
19.4383,,10.52685
19.559625,,10.54455
19.64525,,10.55815
19.703375,,10.57735
19.7405,,10.604625
19.7731,,10.625875
19.806675,,10.653875
19.8693,,10.663575
19.9172,,10.67685
19.96455,,10.69245
19.984075,,10.712475
19.996975,,10.7243
20.01365,,10.73495
20.03145,,10.753575
20.046925,,10.786275
20.07205,,10.809675
20.09975,,10.82625
20.1397,,10.851725
20.18075,,10.865325
20.20635,,10.88275
20.229275,,10.906525
20.2628,,10.94015
20.29215,,10.955825
20.31885,,10.973125
20.346625,,11.011125
20.3945,,11.037675
20.421025,,11.056025
20.452625,,11.0717
20.4773,,11.1002
20.5013,,11.12165
20.535825,,11.147125
20.589725,,11.17725
20.650575,,11.19515
20.7092,,11.222525
20.757675,,11.24395
20.854275,,11.264825
20.907475,,11.2897
20.952375,,11.316825
20.98795,,11.336525
21.0382,,11.368225
21.101875,,11.410875
21.1614,,11.436225
21.221725,,11.4476
21.349675,,11.466425
21.3662,,11.502775
21.3765,,11.525975
21.395075,,11.545825
21.408525,,11.60565
21.42205,,11.642675
21.445625,,11.6711
21.469925,,11.699375
21.4985,,11.72575
21.53175,,11.758
21.56455,,11.7847
21.59615,,11.819175
21.631275,,11.85105
21.679925,,11.89085
21.7318,,11.9196
21.8201,,11.96475
21.865325,,11.994175
21.9283,,12.0252
22.01435,,12.0444
22.15165,,12.060575
22.19585,,12.0726
22.223775,,12.094225
22.242,,12.11145
22.263975,,12.13875
22.285425,,12.1601
22.3031,,12.182975
22.326625,,12.236125
22.356275,,12.25
22.399525,,12.27745
22.4438,,12.29465
22.495125,,12.31725
22.58165,,12.336625
22.657075,,12.355275
22.722925,,12.37415
22.79305,,12.3991
22.856875,,12.4363
22.974125,,12.4756
23.041,,12.514175
23.147775,,12.55355
23.1765,,12.581875
23.21265,,12.638375
23.237175,,12.6476
23.2862,,12.701575
23.326925,,12.715875
23.366825,,12.7267
23.42985,,12.74715
23.47785,,12.76415
23.563575,,12.78205
23.639075,,12.8055
23.67995,,12.84685
23.72305,,12.8695
23.762325,,12.891775
23.834425,,12.9143
23.90185,,12.938925
23.934475,,12.957575
24.0068,,12.99445
24.0526,,13.02575
24.075125,,13.049625
24.118425,,13.07915
24.182525,,13.101425
24.256775,,13.132325
24.311825,,13.149575
24.395275,,13.170125
24.4344,,13.201325
24.501325,,13.22455
24.533275,,13.2437
24.556625,,13.27145
24.5819,,13.28895
24.63875,,13.355425
24.695925,,13.368025
24.7706,,13.402975
24.8112,,13.433825
24.852825,,13.456925
24.9019,,13.491025
24.952875,,13.5181
25.010125,,13.536425
25.048225,,13.555775
25.092725,,13.573925
25.11365,,13.5976
25.1463,,13.615175
25.186725,,13.62555
25.20865,,13.642475
25.238675,,13.655925
25.2763,,13.673575
25.333725,,13.685625
25.398875,,13.705125
25.45575,,13.725725
25.501,,13.748125
25.534325,,13.8008
25.595425,,13.813625
25.628225,,13.834975
25.67005,,13.8505
25.7236,,13.869125
25.77105,,13.88035
25.83055,,13.892625
25.885075,,13.96075
25.9211,,13.9822
25.97295,,14.004475
26.008275,,14.017625
26.1261,,14.03565
26.1936,,14.0504
26.27565,,14.06985
26.320075,,14.083925
26.356,,14.1153
26.42065,,14.146125
26.467675,,14.156175
26.495975,,14.22135
26.51035,,14.251075
26.526775,,14.28355
26.56265,,14.301925
26.5897,,14.3463
26.61615,,14.372925
26.64385,,14.428175
26.68635,,14.45645
26.735725,,14.49075
26.7498,,14.522075
26.76715,,14.5512
26.7959,,14.581125
26.8178,,14.6047
26.84345,,14.6214
26.863675,,14.6426
26.884175,,14.6648
26.905575,,14.681425
26.934825,,14.6942
26.9898,,14.716375
27.01575,,14.736975
27.046625,,14.757275
27.0696,,14.773975
27.097625,,14.79575
27.1203,,14.812175
27.138,,14.8471
27.1638,,14.86605
27.19295,,14.8992
27.22175,,14.9241
27.24995,,14.957325
27.288925,,14.99125
27.318125,,15.013425
27.34285,,15.027525
27.37215,,15.0474
27.422675,,15.060875
27.468575,,15.0741
27.502675,,15.09285
27.54585,,15.11435
27.633775,,15.136725
27.663125,,15.152175
27.72135,,15.170025
27.771275,,15.185525
27.870275,,15.22995
27.917975,,15.242425
27.9892,,15.282975
28.0267,,15.3267
28.051475,,15.3676
28.1006,,15.39
28.134625,,15.41525
28.1728,,15.446825
28.211625,,15.466025
28.26405,,15.485325
28.31805,,15.50985
28.3757,,15.539425
28.44945,,15.573925
28.519175,,15.61645
28.6012,,15.66755
28.6807,,15.706925
28.708575,,15.733625
28.7309,,15.7743
28.74925,,15.80455
