SPK_SPKC01a,SPK_SPKC02b,SPK_SPKC11a,SPK_SPKC13b
128.0876,121.2389,109.349,130.269025
128.2049,121.672025,109.35645,130.356425
128.38185,121.74335,109.36575,130.3874
128.4705,121.803525,109.374325,130.520075
128.526425,121.883675,109.3866,130.52745
128.596825,121.945475,109.39885,130.646075
128.649975,121.980875,109.409025,130.665825
128.688875,121.990125,109.422375,130.714
128.865375,122.00705,109.435025,130.7415
128.949625,122.0482,109.4459,131.132325
129.01395,122.049275,109.454575,131.151275
129.049675,122.0854,109.465275,131.230725
129.109425,122.08735,109.47645,131.27915
129.182675,122.10875,109.48895,131.336525
129.45175,122.111525,109.49705,131.406375
129.4873,122.12735,109.50535,131.4129
129.612375,122.16435,109.514325,131.43805
129.751525,122.19955,109.52245,131.5301
129.795525,122.236375,109.5347,131.60985
129.82785,122.2738,109.54535,131.71095
129.88015,122.31075,109.55365,131.89995
129.9337,122.331025,109.56685,131.96205
129.991375,122.37815,109.572575,131.9838
130.033175,122.388575,109.585275,132.04795
130.0821,122.40395,109.596525,132.073825
130.180475,122.428825,109.60645,132.094025
130.2433,122.431025,109.623275,132.35505
130.28125,122.446975,109.632025,132.3799
130.428275,122.451875,109.643375,132.42665
130.463,122.47155,109.656425,132.437575
130.48165,122.493225,109.66925,132.549475
130.84675,122.51035,109.679225,132.6191
130.919875,122.539275,109.698575,132.73605
130.934975,122.596175,109.711875,132.746075
131.05105,122.6082,109.722725,132.7881
131.0787,122.6155,109.7316,133.090425
131.23705,122.64605,109.74275,133.1136
131.276425,122.658225,109.755575,133.13505
131.39385,122.679875,109.757925,133.252475
131.504225,122.6934,109.768875,133.342975
131.534575,122.7508,109.7863,133.3643
131.819275,122.876725,109.7959,133.414775
132.0502,122.92145,109.8089,133.44515
132.131125,122.922725,109.815575,133.762075
132.1524,122.945325,109.828525,133.861475
132.1939,122.977275,109.835475,133.873225
132.25465,122.9988,109.842675,133.945375
132.2681,123.015075,109.85385,133.9944
132.285375,123.02945,109.87085,134.014325
132.306025,123.037175,109.882,134.03405
132.360075,123.0636,109.897175,134.06435
132.429725,123.10665,109.91005,134.19995
132.61405,123.12895,109.927125,134.22925
133.014,123.139425,109.95095,134.25155
133.4694,123.17265,109.96485,134.33245
133.4895,123.2232,109.976475,134.5878
133.627625,123.28465,109.98685,134.6186
133.685725,123.2894,110.003225,134.789625
133.7689,123.310925,110.013625,134.809525
133.774925,123.360225,110.045425,134.8523
133.80585,123.381475,110.066475,134.9528
133.902675,123.39165,110.08225,134.995225
133.947875,123.550425,110.105325,135.005725
134.014975,123.5592,110.131675,135.040625
134.112425,123.60535,110.147325,135.09795
134.137425,123.6214,110.15825,135.31155
134.80645,123.634375,110.177675,135.345
134.883025,123.6915,110.196925,135.38445
135.5085,123.70305,110.218675,135.41895
135.556175,123.720625,110.2393,135.554075
136.579225,123.73895,110.2528,135.645225
136.94535,123.750475,110.263175,135.7196
137.413475,123.778425,110.282175,135.97645
139.487525,123.8469,110.2936,136.115
140.185275,124.02195,110.30515,136.135975
140.23845,124.04045,110.315375,136.2436
140.515725,124.066525,110.3252,136.278875
140.649975,124.147475,110.3362,136.471175
140.67755,124.165075,110.344575,136.490275
140.7167,124.181925,110.3563,136.73695
140.77115,124.22335,110.365175,136.82145
141.0791,124.322475,110.37525,137.2298
141.135325,124.350125,110.388725,137.334675
141.217375,124.386075,110.40515,138.0724
141.247025,124.4117,110.424775,138.21015
141.256925,124.457125,110.43255,138.26245
141.3652,124.5058,110.451825,138.38165
141.4402,124.558025,110.470575,138.4278
141.453025,124.73125,110.498025,138.4523
141.58235,124.73565,110.510975,138.784325
