SPK_SPKC05a,SPK_SPKC05c,SPK_SPKC10b,SPK_SPKC10c,SPK_SPKC15a
3733.2618,3754.68945,3721.62955,3805.230775,3828.788975
3733.2914,3754.778475,3721.6643,3805.343525,3828.83695
3733.336325,3754.9123,3721.732525,3805.4459,3828.874375
3733.35915,3754.952875,3721.804875,3805.471475,3828.951875
3733.3638,3755.048475,3721.8528,3805.5723,3829.059075
3733.3958,3755.213075,3721.88115,3805.63275,3829.11335
3733.440125,3755.2364,3721.9222,3805.67145,3829.14705
3733.466025,3755.3583,3721.99865,3805.68035,3829.2556
3733.4944,3755.432725,3722.060525,3805.71715,3829.6827
3733.4979,3755.570775,3722.135375,3805.731425,3829.715125
3733.589725,3755.638325,3722.20225,3805.7404,3829.774475
3733.596975,3755.837825,3722.24815,3805.75295,3829.8083
3733.679425,3755.970125,3722.307925,3805.7699,3829.962125
3733.74375,3756.119625,3722.350225,3805.794325,3830.002025
3733.782825,3756.61845,3722.389225,3805.81445,3830.095325
3733.80925,3756.89375,3722.4225,3805.836375,3830.38385
3733.8418,3757.34065,3722.445325,3805.870275,3830.465925
3733.867825,3757.446825,3722.473725,3805.885925,3830.51585
3733.971425,3757.801925,3722.49575,3805.901975,3830.629925
3734.1617,3758.046875,3722.5112,3805.931075,3830.901475
3734.192725,3758.70655,3722.528425,3805.957925,3831.0187
3734.291025,3759.608575,3722.549125,3805.97715,3831.242675
3734.3497,3759.6251,3722.569375,3805.98485,3831.280725
3734.389925,3760.125575,3722.5939,3806.0129,3831.77005
3734.42855,3760.88755,3722.628175,3806.08335,3831.890925
3734.5016,3761.87395,3722.641625,3806.247025,3833.357525
3734.5511,3762.117825,3722.7551,3806.281825,3834.0306
3734.582375,3762.421025,3722.82285,3806.303475,3835.25605
3734.642375,3763.9317,3722.89555,3806.310925,3839.13865
3734.670175,3764.250225,3722.916525,3806.383725,3839.9584
3734.8006,3764.44715,3722.952175,3806.41465,3840.23685
3734.81545,3765.445875,3723.010325,3806.4259,3840.318175
3734.8868,3765.67805,3723.118225,3806.495425,3840.4533
3734.9912,3766.790675,3723.20715,3806.53715,3840.940925
3735.014075,3767.28235,3723.293525,3806.563325,3840.963025
3735.098325,3767.696675,3723.334875,3806.618725,3842.20245
3735.163325,3768.071325,3723.4472,3806.716175,3842.452
3735.2262,3768.1338,3723.6118,3806.97815,3842.708625
3735.246975,3768.142225,3723.702825,3807.197475,3842.763175
3735.336475,3768.1613,3723.75165,3807.3675,3842.933675
3735.3565,3768.26245,3723.81835,3807.656425,3843.689925
3735.439675,3768.28175,3723.90705,3807.721475,3843.7691
3735.514625,3768.331475,3723.998725,3808.05325,3843.9018
3735.56525,3768.54435,3724.1111,3808.156525,3843.98835
3735.609175,3768.6151,3724.1969,3808.263075,3844.07585
3735.64805,3768.7765,3724.237025,3808.3702,3844.3123
3735.689325,3768.898725,3724.33415,3808.43735,3844.32015
3735.70505,3769.048075,3724.43885,3808.561,3844.360875
3735.7203,3769.09945,3724.537625,3808.660125,3844.395725
3735.76255,3769.16945,3724.688775,3808.7856,3844.6899
3735.771725,3769.22685,3724.758775,3808.9857,3844.728475
3735.7952,3769.283675,3724.88615,3809.061725,3844.7736
3735.8363,3769.355275,3724.9928,3809.255025,3845.37525
3735.873075,3769.40925,3725.111575,3809.277225,3845.426675
3735.887825,3769.51925,3725.43195,3809.30915,3845.45405
3735.923425,3769.58625,3725.5001,3809.33475,3845.476225
3735.953075,3769.71945,3725.733425,3809.3475,3845.961975
3735.969975,3769.868875,3725.931925,3809.4279,3846.000475
3736.015925,3769.9835,3726.08425,3809.4463,3846.0117
3736.06175,3770.021525,3726.177875,3809.48855,3846.125725
3736.07615,3770.1513,3726.299025,3809.540725,3846.210625
3736.135375,3770.2314,3726.5423,3809.609675,3846.218725
3736.150425,3770.382975,3726.80675,3809.8404,3846.25785
3736.201475,3770.472125,3727.367575,3809.974,3846.30375
3736.20875,3770.53055,3727.709275,3810.090225,3846.366675
3736.24735,3770.5886,3727.8125,3810.23795,3846.46705
3736.257875,3770.70885,3727.8921,3810.386575,3846.658375
3736.314525,3770.74535,3728.003275,3810.589525,3846.6827
3736.369075,3770.902825,3728.17285,3810.728,3847.136975
3736.399575,3770.918925,3728.24225,3810.826425,3847.18525
3736.44955,3770.939925,3728.285225,3811.0754,3847.25505
3736.5238,3770.9961,3728.338825,3811.24005,3847.28965
3736.549325,3771.110375,3728.4754,3811.413325,3847.3087
3736.5593,3771.16085,3728.731475,3811.504,3847.373025
3736.6245,3771.31615,3728.9247,3811.563375,3847.4311
3736.68835,3771.361825,3729.060875,3811.597125,3847.440575
3736.698725,3771.530325,3729.178025,3811.630975,3847.56245
3736.75915,3771.671225,3729.3588,3811.6606,3847.5835
3736.777375,3771.76335,3729.46315,3811.7062,3848.0365
3736.790475,3771.817175,3729.6925,3811.775375,3848.094675
3736.830575,3771.968825,3729.7795,3811.879425,3848.210325
3736.8555,3772.138325,3729.914425,3812.04615,3848.23335
3736.923225,3772.342825,3730.2959,3812.16185,3848.25145
3736.9392,3772.61445,3730.4129,3812.205575,3848.2987
3736.987325,3772.956225,3730.494175,3812.267975,3848.386075
3737.0466,3773.3063,3730.61035,3812.3642,3848.413525
3737.171575,3773.357,3731.1719,3812.476575,3848.4435
3737.20175,3773.435575,3731.261,3812.6025,3848.488275
