SPK_SPKC02a (inhibited),SPK_SPKC07a (inhibited),SPK_SPKC12a (no effect)
162.1217,10.90465,901.617425
162.238525,10.938475,901.717975
162.293725,10.9645,901.78665
162.5403,10.980025,901.94405
162.692775,10.992575,902.061
162.86095,11.001575,902.186325
163.070625,11.026225,902.3816
163.50505,11.039875,902.5882
163.6344,11.0576,902.704825
163.7127,11.077575,902.8005
163.862925,11.0914,902.87515
163.99895,11.100675,905.0203
164.028525,11.1259,905.371125
164.371525,11.141125,905.423875
164.42565,11.15345,905.465625
164.48195,11.164625,905.582775
164.523325,11.177775,906.048075
164.55395,11.204425,911.3981
164.584575,11.21855,911.41835
164.614275,11.231675,911.599725
164.713625,11.24265,911.72585
164.788275,11.254875,912.218525
164.8421,11.286225,913.060425
165.25545,11.29865,913.20935
165.308875,11.312775,913.3099
165.327325,11.324425,913.479975
165.6395,11.344425,913.57895
165.814,11.35715,913.68035
165.958275,11.3706,913.719875
166.2043,11.381025,913.7846
166.220375,11.3956,913.85045
166.251225,11.407475,914.05085
166.283225,11.42695,914.147275
166.326225,11.439475,914.249225
166.37405,11.454925,914.420575
166.387,11.467675,914.50285
166.644075,11.4791,914.669225
166.806925,11.517225,914.728825
167.1593,11.5313,914.90655
167.23705,11.547525,915.1325
167.434725,11.5714,915.570125
167.617475,11.579875,915.93115
168.1571,11.59265,916.05765
168.210025,11.613275,916.2007
168.2203,11.6228,916.301475
168.4039,11.643025,916.349175
168.674625,11.65055,916.99525
168.727925,11.661575,917.2954
168.87895,11.672825,917.433975
168.913125,11.686175,917.571925
168.9866,11.703475,918.048125
169.179075,11.723425,918.059425
169.380375,11.73805,918.17675
169.416875,11.748825,918.276625
169.5064,11.769475,918.30515
169.888425,11.78085,918.409975
170.01875,11.80665,918.80185
170.2264,11.826,918.8164
170.2753,11.8386,918.839875
170.446475,11.854825,918.9646
170.621825,11.870275,919.075725
170.6901,11.8873,919.208975
170.817525,11.900825,919.2387
171.12355,11.914075,919.305375
171.24345,11.9267,919.3257
171.506175,11.947025,919.3583
171.811425,11.965125,919.46685
172.17385,11.976125,919.47805
172.45925,11.994025,919.57305
172.564875,12.00455,919.589375
172.570475,12.017025,919.629275
172.65,12.026875,919.671975
172.97265,12.0428,919.6872
173.220675,12.059425,919.74605
173.260525,12.0712,919.78555
173.3348,12.08735,919.7949
173.42125,12.113825,919.831275
173.64315,12.127875,919.894525
173.673425,12.138525,919.944925
173.962725,12.1544,919.96475
174.05495,12.163525,919.972575
174.2299,12.1819,920.01705
174.285675,12.199075,920.02765
174.465775,12.212075,923.456725
174.51725,12.2247,926.985075
174.62835,12.235925,927.1963
175.81825,12.2585,927.427875
175.910575,12.2737,927.56
176.4376,12.2969,927.6163
177.356475,12.3099,927.763575
177.516775,12.33515,927.8719
178.13155,12.347075,928.121025
178.34985,12.378775,928.184
178.91345,12.388475,928.197275
179.10985,12.406625,928.22195
179.358225,12.41785,929.230175
179.414525,12.430775,929.644625
179.48415,12.457,929.8758
180.170175,12.4744,930.974025
180.2228,12.485,931.0263
180.650875,12.500175,931.085975
180.689975,12.5236,933.0865
180.8545,12.544925,933.30895
181.255,12.560975,933.622775
181.378175,12.574675,933.832225
181.8153,12.5846,935.2362
181.957375,12.604975,935.29665
182.188225,12.646675,935.6326
182.191425,12.668275,937.84455
182.212325,12.691875,942.769325
182.5149,12.70745,943.004675
182.55965,12.720575,943.173925
182.60165,12.7316,943.244425
182.7179,12.744375,943.2757
182.8201,12.75915,947.254525
182.95025,12.77395,947.4236
182.98265,12.785425,947.531575
183.48575,12.7958,947.886975
183.63995,12.8115,947.966875
184.2249,12.824525,948.0525
184.42785,12.849475,948.100925
184.501925,12.86985,948.220575
184.584425,12.89585,948.59365
184.6581,12.910075,949.8605
184.82775,12.9257,950.81595
185.144,12.938875,950.838075
185.584975,12.9561,951.4211
185.76135,12.98195,951.8872
185.9803,13.02655,952.05145
186.11745,13.04085,952.17635
186.212025,13.05395,952.436575
186.3146,13.0673,953.76505
186.578725,13.08655,953.985425
186.667375,13.0999,954.237575
186.926775,13.1117,954.5822
186.994925,13.1327,954.60125
187.010625,13.1448,954.690325
187.0589,13.1587,954.8591
187.1646,13.18005,954.89985
187.3877,13.204075,954.919975
187.9476,13.235775,955.026725
188.10195,13.2699,955.2369
188.27075,13.282875,955.436775
188.356275,13.298575,955.505325
188.477525,13.3189,955.9946
188.60545,13.334275,956.04155
188.706075,13.352725,956.2533
188.7837,13.3644,956.264425
188.824175,13.383625,956.29495
188.8509,13.4074,956.4081
188.913325,13.42135,956.664025
188.998,13.441775,956.705725
189.0758,13.45375,957.0125
189.1267,13.474075,957.093425
189.18015,13.4926,957.1899
189.225775,13.526975,957.3294
189.412925,13.545675,957.38545
189.6637,13.564325,957.64555
189.66695,13.5777,957.7855
190.310925,13.6008,957.924975
190.46685,13.624775,961.72205
191.189225,13.647075,962.283625
191.500875,13.662925,965.1531
191.5803,13.675,967.97685
191.6039,13.68985,968.003125
191.7194,13.7094,968.129275
191.9577,13.7324,970.119125
192.211975,13.748225,970.201175
192.8168,13.7593,970.487175
193.260925,13.7728,970.791075
193.3065,13.792225,970.937775
193.4132,13.81125,971.0221
193.5952,13.82265,971.157025
193.629825,13.841,971.25175
193.67755,13.852775,971.319525
193.720825,13.8714,971.383725
193.824975,13.8939,971.614925
193.953725,13.912525,971.639775
194.0029,13.925725,971.77675
194.161125,13.955275,971.803875
194.197075,13.9718,972.29835
194.260175,13.98715,972.388325
194.3431,14.00495,972.417
194.685025,14.03005,972.44055
194.859975,14.0655,972.587275
195.041575,14.08885,972.72555
195.286675,14.103,975.29055
195.48005,14.125575,975.34945
195.6313,14.13605,975.450425
195.79015,14.149875,975.82785
195.92135,14.16795,975.990125
196.093175,14.18155,976.048425
196.1212,14.204525,976.1909
197.187475,14.221325,976.406075
197.224525,14.240475,976.455225
197.351075,14.256325,976.50415
198.335475,14.2696,976.64685
198.3471,14.2918,976.751025
198.4611,14.31505,976.913975
198.484175,14.327025,976.940175
198.628975,14.34335,977.0239
198.6728,14.354475,977.189525
198.758175,14.36745,977.280125
198.819625,14.393725,977.3072
198.915425,14.404225,977.37425
198.951875,14.425075,977.430625
199.145675,14.4459,977.46575
199.188575,14.46085,977.531425
199.2553,14.470625,977.92945
199.288125,14.489175,978.123925
199.36055,14.50005,978.17125
199.45565,14.534175,978.267025
199.4951,14.543875,978.34015
199.565775,14.56145,978.401225
199.593175,14.583425,978.535925
199.65595,14.62075,978.5585
199.7308,14.633375,978.59775
199.7928,14.6441,978.61505
199.96475,14.663675,978.65035
200.08445,14.6739,978.6965
200.14305,14.689025,978.731625
200.20785,14.70575,978.756725
200.39255,14.715975,978.8126
200.43705,14.731925,978.858925
200.515125,14.75475,978.90175
200.902075,14.771675,978.940225
