SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC03b,SPK_SPKC07b,SPK_SPKC07c,SPK_SPKC12a,SPK_SPKC14c
109.67975,108.018025,104.41835,115.222975,120.2218,109.458125,103.635725
109.757075,108.102225,104.42755,115.255025,120.33555,109.477375,103.671775
109.77735,108.1506,104.4763,115.42145,120.455475,109.556325,103.694975
109.9678,108.222825,104.533075,115.59955,120.4667,109.598525,103.7333
109.9889,108.245025,104.597875,115.731275,120.83205,110.0444,103.753425
110.01305,108.268,104.61245,115.804375,120.913675,110.1065,103.76685
110.0633,108.31095,104.6426,116.215325,121.13785,110.125775,103.79935
110.15965,108.346275,104.662825,116.253475,121.144025,110.143275,103.818025
110.210475,108.365075,104.708225,116.275125,121.169125,110.15455,103.844725
110.28945,108.382375,104.75295,116.38515,121.241975,110.17125,103.873025
110.3353,108.4092,104.842325,116.50965,121.2845,110.253775,103.90095
110.37505,108.44045,104.938875,116.558025,121.34075,110.349875,103.9327
110.533775,108.482925,104.949825,116.5956,121.417425,110.373825,103.95495
110.75755,108.5374,104.970025,116.6432,121.4562,110.3886,103.981775
110.8045,108.58685,104.972225,117.29795,121.46925,110.421775,104.004325
110.8818,108.658225,104.976375,117.3581,121.560775,110.497825,104.02225
110.934425,108.8126,105.00735,117.381475,121.566075,110.577825,104.0341
111.012875,108.913575,105.095075,117.424125,121.57305,110.614825,104.048075
111.089125,109.1415,105.179325,117.4327,121.59165,110.715875,104.06225
111.115775,109.191975,105.296875,117.457775,121.639075,110.72075,104.116675
111.16165,109.230475,105.3222,117.509375,121.684275,110.74125,104.1323
111.251,109.56095,105.333625,117.521025,121.7042,110.785375,104.1396
111.355175,109.587775,105.3449,117.561525,121.77145,110.915075,104.1687
111.44075,109.6098,105.36385,117.58025,121.8133,111.020825,104.214975
111.563775,109.63145,105.376825,117.6109,121.896425,111.084325,104.249
111.61295,109.65645,105.39135,117.7508,121.90275,111.13715,104.28805
111.727425,109.691625,105.413575,117.768725,121.9298,111.26125,104.327975
111.761575,109.7289,105.42025,117.797625,122.060325,111.277525,104.378875
111.8306,109.763025,105.44,117.853225,122.232075,111.3715,104.426325
112.102225,109.7892,105.45935,118.345125,122.266625,111.404225,104.44695
112.208,109.823225,105.52295,118.353825,122.274925,111.595975,104.46935
112.2524,109.870025,105.552675,118.3928,122.2779,111.62365,104.508675
112.27285,109.913375,105.85345,118.421025,122.304575,111.6816,104.5191
112.30995,109.9398,105.864575,118.453925,122.349775,111.683325,104.5458
112.38075,109.961475,105.87405,118.486,122.3913,111.72725,104.590775
112.4419,109.97825,105.8853,118.513475,122.442125,112.039275,104.657775
112.5825,110.00025,105.89995,118.569075,122.4861,112.1419,104.7096
112.584425,110.016525,105.90975,118.593975,122.5288,112.2706,104.735525
112.65795,110.04035,105.9168,118.610125,122.529875,112.41305,104.779425
112.69095,110.0774,105.9289,118.624025,122.5558,112.42015,104.799925
112.7133,110.241725,105.9383,118.73155,122.5708,112.4515,104.821325
112.788275,110.27995,105.951625,118.752175,122.591725,112.456575,104.83625
112.82035,110.6049,106.016825,118.780225,122.62805,112.630175,104.84925
