SPK_SPKC02a (no effect),SPK_SPKC02b (weak excitation),SPK_SPKC09a (no effect),SPK_SPKC11a (no effect)
3.125875,35.3087,10.904525,10.793925
3.135625,35.418575,10.9411,10.813475
3.1446,35.433125,11.05705,10.874475
3.1592,35.623625,11.092025,10.956825
3.1688,35.717,11.115625,10.9831
3.1701,36.546775,11.27675,11.03655
3.178925,36.554875,11.2892,11.120225
3.1864,36.64225,11.305175,11.1638
3.2019,36.72395,11.335375,11.2431
3.2099,36.8765,11.359725,11.2756
3.232275,37.41,11.4432,11.38725
3.24805,37.416275,11.4697,11.4042
3.25865,37.643575,11.49765,11.43575
3.26575,37.7221,11.56515,11.467125
3.2846,37.778125,11.70065,11.49775
3.29895,37.793775,11.866175,11.624275
3.32145,37.8215,11.91715,11.7329
3.334375,37.866275,11.948125,11.7439
3.34215,38.177225,11.9821,11.77345
3.349725,38.204,12.0419,11.7799
3.36355,38.32765,12.16835,11.8062
3.372975,38.43905,12.199275,11.847375
3.38565,38.47645,12.24535,11.868675
3.394125,38.632775,12.287175,11.924475
3.4033,38.738425,12.38755,11.988675
3.41035,38.8139,12.4221,12.026425
3.423,38.8518,12.543975,12.06715
3.439125,38.9007,12.592525,12.102025
3.450875,38.981825,12.63865,12.1419
3.456675,38.994675,12.67195,12.14415
3.4638,39.130175,12.705575,12.186175
3.468675,39.21285,12.748175,12.227325
3.475825,39.23065,12.843925,12.283475
3.492025,39.28735,12.89255,12.33575
3.52315,39.5711,12.938975,12.39655
3.53445,39.7205,12.953625,12.410125
3.550025,39.742075,12.98455,12.47205
3.564725,39.856975,12.989375,12.48815
3.571625,39.8751,13.075675,12.7349
3.57825,40.06705,13.162025,12.749075
3.618375,40.10315,13.2157,12.7636
3.6268,40.389875,13.278925,12.804625
3.640575,40.51515,13.340675,12.859425
3.662625,40.668725,13.403575,12.87105
3.676175,40.8291,13.439,12.923375
3.70895,40.884575,13.49275,12.951625
3.720875,41.2167,13.59085,12.9835
3.74655,41.244175,13.693,13.086625
3.754325,41.31845,13.7581,13.15965
3.77135,41.401925,13.886675,13.182775
3.796475,41.4972,13.92875,13.221375
3.805875,41.5301,13.9981,13.240075
3.817625,41.635075,14.032675,13.2462
3.83735,41.646175,14.062075,13.292825
3.857675,41.67095,14.153825,13.295275
3.87425,41.917925,14.155,13.31645
3.8932,41.926925,14.202525,13.371425
3.91235,42.027325,14.295,13.40875
3.943325,42.23945,14.3443,13.4792
3.96485,42.38795,14.374525,13.488425
3.973525,42.6175,14.45175,13.4949
3.9878,43.08135,14.491,13.5183
3.999725,43.101675,14.54755,13.531
4.0116,43.139875,14.57085,13.584075
4.0157,43.3478,14.599475,13.65725
4.0252,43.857875,14.722875,13.68865
4.0334,43.915125,14.750475,13.7697
4.0417,43.983525,14.862425,13.804725
4.04995,44.0987,14.871325,13.835425
4.07175,44.258575,14.8851,13.87785
4.0906,44.786075,14.92755,13.89475
4.1076,44.86605,15.0374,13.908125
4.115125,44.91085,15.07535,13.935175
4.133675,44.97735,15.1431,13.94415
4.1665,45.053875,15.2248,13.988375
4.17975,45.3062,15.364475,14.022075
4.187325,45.61355,15.4419,14.0631
4.19555,45.698675,15.529325,14.085125
4.20335,45.945725,15.561225,14.115325
4.2123,46.054,15.586775,14.14715
4.2429,46.1318,15.633125,14.15605
4.2657,46.1681,15.670075,14.22295
4.277675,46.427575,15.6998,14.250725
4.299675,47.02215,15.703175,14.284275
4.315825,47.218775,15.756675,14.309125
4.34435,47.50535,15.7814,14.321075
4.355725,47.616475,15.886875,14.374375
4.362175,48.042825,15.915375,14.383575
4.394425,48.09315,16.00825,14.414425
4.41495,48.09925,16.076725,14.429175
4.430125,48.400375,16.1325,14.45305
4.440475,48.62515,16.159625,14.4659
4.450625,48.84935,16.1864,14.474275
4.4625,49.238175,16.22125,14.524825
4.4807,49.5967,16.263325,14.592875
4.48985,49.690875,16.265075,14.6269
4.498225,49.83325,16.318225,14.689975
4.5318,49.8343,16.343975,14.7337
4.5498,49.979125,16.378,14.81365
4.560425,50.0806,16.490725,14.84055
4.571425,50.1466,16.591275,14.888925
4.583775,50.272375,16.640525,14.9088
4.61405,50.478025,16.686225,14.9269
4.622675,50.590175,16.802975,14.965575
4.669175,50.67935,16.878325,14.982825
4.68055,50.8739,16.935475,14.993325
4.71205,50.9579,17.012575,15.0006
4.73835,51.0115,17.149325,15.072575
4.747025,51.047125,17.184625,15.085825
4.75745,51.0774,17.3565,15.106225
4.769625,51.1026,17.3946,15.115275
4.78775,51.2739,17.4426,15.17125
4.796625,51.3722,17.495125,15.219925
4.808075,51.37325,17.532975,15.28415
4.8281,51.5107,17.57455,15.295575
4.847075,51.599025,17.599325,15.324375
4.856025,52.259275,17.662625,15.361975
4.869425,52.380875,17.727075,15.398725
4.88515,52.76115,17.7636,15.4167
4.926725,53.28745,17.80695,15.46235
4.942375,53.516875,17.8556,15.485925
4.969525,53.662775,17.9165,15.496825
5.00335,53.805725,17.96295,15.517725
5.02295,53.996175,17.993825,15.55115
5.041525,54.06045,18.059575,15.581375
5.050525,54.12945,18.153125,15.59425
5.064375,54.264525,18.218,15.610775
5.077575,54.295075,18.24555,15.6355
5.131025,54.556775,18.270675,15.654275
5.166375,54.637675,18.410925,15.672075
5.191025,54.693825,18.45835,15.730425
5.220025,54.77975,18.554375,15.7571
5.235325,55.154225,18.5899,15.787375
5.2717,55.26245,18.654675,15.832525
5.28195,55.362175,18.82775,15.847075
5.293975,55.446875,18.849825,15.9024
5.31425,56.1463,18.89445,15.93235
5.3474,56.3363,18.899125,15.9627
5.359375,56.541225,18.97185,15.9742
5.377325,57.122675,18.997025,15.985725
5.399225,57.2503,19.04825,15.9975
5.409425,57.49755,19.101325,16.018925
5.4235,57.67345,19.14095,16.0884
5.43275,57.71055,19.2192,16.096525
5.463025,57.895475,19.281075,16.154625
5.481075,57.95375,19.3165,16.211325
5.493925,58.15195,19.354425,16.246625
