SPK_SPKC04a (artefact),SPK_SPKC13a (artefact)
119.471125,101.435225
119.51735,101.5862
119.556225,101.6511
119.604625,101.739725
119.645175,101.85215
119.683825,101.934925
119.712525,102.032225
119.8501,102.104825
119.9412,102.121025
120.016,102.180575
120.05075,102.200725
120.0694,102.302
120.134675,102.411225
120.168875,102.44615
120.21025,102.509725
120.25765,102.580575
120.333575,102.68585
120.463175,102.7308
120.510625,102.807
120.53215,102.8539
120.55955,102.9489
120.60675,103.12795
120.66255,103.261625
120.897375,103.46445
120.945475,103.71795
120.995775,103.843525
121.052325,103.9138
121.118525,103.98235
121.1862,104.01045
121.277825,104.082075
121.3257,104.1806
121.377,104.2952
121.446125,104.368125
121.503575,104.440275
121.563,104.6226
121.598225,104.70225
121.629525,104.74875
121.801975,104.797325
121.8625,104.985375
121.9176,105.10665
121.9555,105.223225
121.98065,105.30515
122.026775,105.40825
122.13585,105.502425
122.23025,105.7316
122.3335,105.80335
122.378875,105.887775
122.41755,105.9352
122.4604,106.0578
122.498225,106.12345
122.535075,106.274425
122.6011,106.396125
122.6603,106.473425
122.7207,106.4983
122.819075,106.581875
122.951075,106.619675
123.01345,106.70215
123.1309,106.814125
123.309025,106.85135
123.47635,106.908025
123.54165,106.98025
123.72315,107.0277
123.81475,107.053975
123.99965,107.08015
124.063725,107.102575
124.183925,107.1449
124.2443,107.1775
124.286925,107.20745
124.364,107.24805
124.5274,107.304175
124.56905,107.368225
124.735775,107.440775
124.791275,107.4659
124.854675,107.495
125.0214,107.58675
125.08025,107.637075
125.112075,107.766825
125.165925,107.812825
125.222275,107.91
125.278925,107.99055
125.384525,108.023125
125.403575,108.055875
125.421525,108.076875
125.608425,108.1021
125.626525,108.13955
125.64455,108.201425
125.6829,108.25205
125.725925,108.2801
125.7634,108.350275
125.782125,108.368925
125.807575,108.386875
125.83185,108.40975
125.854525,108.433675
125.905875,108.645425
125.917475,108.6763
125.97665,108.732675
126.0378,108.768925
126.207575,108.84675
126.3066,108.945075
126.411775,108.994875
126.440075,109.050975
126.495775,109.089725
126.721,109.1396
126.74935,109.181275
126.787125,109.21815
126.8792,109.239
126.972225,109.2684
127.045825,109.2948
127.231925,109.3201
127.309675,109.369875
127.3591,109.438675
127.4551,109.495375
127.478925,109.5571
127.512825,109.646125
127.6888,109.75865
127.725575,109.80665
127.7633,109.864975
127.90155,109.9462
127.940425,110.041275
127.981375,110.145925
128.07575,110.1863
128.1376,110.234675
128.314,110.2972
128.37215,110.3698
128.4123,110.432375
128.441875,110.516575
128.6037,110.590175
128.8792,110.622775
129.34485,110.668825
129.46565,110.82555
129.63275,111.087375
129.67075,111.157375
129.74305,111.1877
129.86015,111.3227
129.9324,111.376925
130.0422,111.49345
130.073325,111.56295
130.11115,111.707825
130.143625,111.8025
130.169675,111.879325
130.30245,111.9403
130.47585,112.045925
130.5105,112.155775
130.60715,112.191175
130.679575,112.234975
130.7978,112.279275
130.93675,112.31095
131.0605,112.3473
131.3032,112.417875
131.344025,112.475125
131.369525,112.601125
131.386025,112.67485
131.409325,112.760525
131.425625,112.849375
131.4728,112.8936
131.6235,113.0107
131.6772,113.0526
131.77445,113.105325
131.8543,113.20035
131.90305,113.2539
132.169425,113.407425
132.300525,113.4851
132.45905,113.5586
132.693325,113.637025
132.82325,113.700375
132.923325,113.768175
132.95355,113.851675
133.0757,113.90315
133.183225,113.954725
133.353625,114.002775
133.499275,114.033725
133.61705,114.0665
133.7106,114.143175
133.9501,114.240225
134.0628,114.3226
134.0939,114.405175
134.1427,114.6125
134.32685,114.67885
134.52115,114.716375
134.5913,114.82315
134.771325,115.082875
134.821725,115.11825
134.891525,115.177925
134.9296,115.3228
134.954425,115.402875
135.2219,115.507525
135.336175,115.53905
135.517575,115.64155
135.588325,115.877175
