SPK_SPKC02a (excited),SPK_SPKC04a (inhibited),SPK_SPKC08a (inhibited),SPK_SPKC16a (short inhibition)
174.488925,5.420125,43.697,3.46755
174.628175,5.4455,43.84895,3.4721
175.054725,5.4694,43.965275,3.476425
175.35355,5.49235,44.137275,3.491575
175.77425,5.507425,44.36895,3.497475
175.87165,5.53635,44.436225,3.500775
176.4397,5.55285,44.5545,3.5053
177.5883,5.567725,44.7079,3.5089
177.988425,5.591075,44.825625,3.516875
178.326875,5.610925,44.88955,3.51975
179.299425,5.63605,45.077025,3.5246
179.522,5.662775,45.191525,3.538425
179.817475,5.711725,45.4008,3.543025
180.100125,5.73305,45.46925,3.548675
180.406,5.756775,45.505725,3.55625
181.376675,5.7772,45.533575,3.56155
181.70935,5.7923,45.6068,3.567775
181.9585,5.81135,45.774825,3.5794
182.59825,5.8288,46.0368,3.590325
183.129625,5.843375,46.156025,3.59815
183.8832,5.851125,46.3646,3.607825
183.914375,5.865225,46.4777,3.6222
184.3512,5.880675,47.43415,3.6404
184.411275,5.898375,47.511325,3.65115
184.618275,5.912875,47.58865,3.698975
185.039075,5.92575,47.87765,3.728275
185.37385,5.94115,47.964625,3.76835
185.96325,5.958125,48.0271,3.81205
186.62085,5.9716,48.322025,3.84895
187.62035,5.992625,48.525725,3.85695
189.089175,6.006525,49.3089,3.8652
190.1405,6.0216,49.346675,3.86945
190.24815,6.03785,49.373125,3.880825
190.599675,6.054825,49.6564,3.891525
191.26495,6.06795,49.69965,3.89945
191.5128,6.08625,50.012575,3.909625
191.590775,6.105275,50.052475,3.91815
192.559775,6.124125,50.1728,3.9229
192.704,6.152025,50.2064,3.92725
193.145775,6.168725,50.310225,3.932875
194.47425,6.1855,50.41615,3.937775
196.087075,6.206225,50.5271,3.94075
196.39445,6.223325,50.7844,3.94365
196.54865,6.24705,51.002375,3.947375
197.1854,6.268575,51.1785,3.95075
197.26835,6.2966,51.570825,3.954175
198.068975,6.316975,51.73335,3.95735
198.47675,6.34495,51.7568,3.964775
198.9208,6.371775,51.83615,3.967425
199.456325,6.388625,52.04365,3.97245
200.274975,6.41155,52.12625,3.975525
200.57345,6.437275,52.23435,3.9795
200.815425,6.458425,52.282125,3.9829
201.1072,6.47725,52.38645,3.986225
202.642525,6.499575,52.565275,3.98885
203.23975,6.517675,52.63035,3.991725
204.46955,6.539675,52.892975,3.993875
204.58365,6.56135,52.950475,3.999075
205.081375,6.580125,52.98925,4.001975
206.031125,6.601425,52.99065,4.005
206.37415,6.61245,53.149275,4.007875
206.411575,6.628975,53.208875,4.01125
207.944875,6.64115,53.407225,4.02415
211.447975,6.657475,53.5608,4.06065
212.511,6.675,53.9653,4.0735
212.534175,6.683525,53.97845,4.078625
213.757475,6.699575,54.602925,4.093725
214.756925,6.72055,54.976075,4.10945
215.407925,6.73065,55.0333,4.11895
216.193775,6.7448,55.3042,4.138625
216.263775,6.76115,55.618775,4.17255
216.485875,6.78625,55.672825,4.24235
217.163175,6.805275,55.950475,4.264225
217.2324,6.822875,56.1786,4.292675
217.751175,6.83525,56.248325,4.305875
218.03895,6.848775,56.301525,4.37825
218.059675,6.8603,56.721425,4.398925
218.71355,6.877625,56.750675,4.42935
219.1065,6.88445,56.88655,4.4646
219.718975,6.89885,56.92575,4.4868
219.7385,6.916825,57.019475,4.4974
220.567925,6.935025,57.100225,4.50395
221.6121,6.954825,57.22395,4.507525
224.92485,6.97155,57.262975,4.517675
225.25055,6.989725,57.31535,4.522875
227.254425,7.006775,57.383275,4.526
227.419975,7.0254,57.662175,4.5315
227.905875,7.03975,57.904975,4.5341
228.56785,7.0623,58.3307,4.53715
229.25455,7.07695,58.401575,4.5395
231.2949,7.095,58.4572,4.5478
231.37675,7.115025,58.505125,4.5514
231.452775,7.142575,58.535625,4.55365
231.4617,7.16175,58.578975,4.557325
231.723625,7.180775,58.818925,4.55945
232.146075,7.200975,58.915025,4.562725
232.209425,7.232275,59.259425,4.568675
232.7565,7.25175,59.45915,4.573425
233.26465,7.26995,59.50095,4.5771
233.464325,7.2919,59.6287,4.5809
233.72195,7.319525,59.71965,4.583375
234.49475,7.336275,59.817975,4.591075
235.13775,7.35845,59.99185,4.604075
235.822025,7.3825,60.17095,4.61025
236.3801,7.40485,60.226725,4.618675
236.5583,7.428525,60.618375,4.627725
237.199125,7.45325,60.7094,4.640875
237.369125,7.4727,60.814975,4.667825
237.723075,7.493425,61.00555,4.679775
237.995375,7.515175,61.016875,4.6887
238.697025,7.53685,61.241175,4.709575
238.7458,7.563725,61.327925,4.7221
239.4515,7.5819,61.591,4.728
239.9152,7.5996,61.839775,4.733275
240.1031,7.61575,62.287,4.739625
241.010975,7.628,62.573775,4.757025
241.363225,7.64755,62.673725,4.766125
241.68925,7.664375,62.788725,4.778925
243.3608,7.678075,62.958825,4.7953
243.403525,7.6913,63.12325,4.805375
243.461775,7.704025,63.163,4.817325
245.01185,7.718425,63.295425,4.834725
245.01505,7.732125,63.466,4.853225
245.34085,7.7469,63.796225,4.8649
245.43155,7.76265,63.81315,4.877975
245.830825,7.7791,63.87265,4.916
246.570825,7.79725,63.965925,4.940125
