SPK_SPKC06c,SPK_SPKC08a,700.008825,SPK_SPKC11a,SPK_SPKC12a,SPK_SPKC12b,SPK_SPKC15b
706.1693,800.0976,782.708975,702.912825,703.37795,712.869525,703.2976
706.175875,800.10905,782.9802,702.918875,703.388675,713.088075,703.307075
706.185175,800.1357,784.28085,702.9288,703.4016,713.131575,703.317075
706.21115,800.43235,784.752225,702.9366,703.423575,713.1545,703.357475
706.242325,800.6427,788.862675,702.944925,703.45055,713.2706,703.36795
706.25275,801.962225,788.972325,702.95485,703.4778,713.327425,703.379525
706.2884,802.191825,789.7813,702.967,703.49345,713.613325,703.3835
706.306475,802.251025,790.681675,702.9796,703.524725,713.624675,703.38965
706.3229,802.396275,791.4205,702.9996,703.580275,713.98225,703.394225
706.342025,802.4344,791.746675,703.0317,703.6327,714.21655,703.40805
706.357,802.480325,794.33575,703.05315,703.662225,714.240025,703.4623
706.524875,802.57475,794.73575,703.089975,703.674425,714.4479,703.548625
706.5356,802.602475,795.25465,703.156075,703.68835,714.4523,703.6073
706.5543,802.848825,795.3292,703.19465,703.704625,714.466275,703.644675
706.5743,802.940875,795.810625,703.241675,703.739125,714.9306,703.664125
706.583425,803.19515,795.943475,703.28415,703.748225,715.3941,703.67255
706.628225,803.23585,795.972925,703.296775,703.794225,715.5711,703.697925
706.6538,803.329575,796.296075,703.309325,703.87915,715.719325,703.719525
706.660525,803.369225,796.8723,703.3152,703.918775,715.809175,703.770175
706.666325,803.654325,797.52265,703.325525,704.019175,715.852725,703.83905
706.680375,804.1944,797.7137,703.344475,704.07755,715.93535,703.851225
706.695475,804.26185,797.885575,703.358125,704.09195,716.15025,703.8956
706.7213,804.3035,798.062725,703.377925,704.104225,716.380575,703.922325
706.7287,804.44075,799.22025,703.38865,704.117725,716.43575,703.950025
706.76195,804.83935,799.703325,703.4016,704.13415,716.64675,703.989325
706.795,805.26565,799.795875,703.423575,704.156125,716.85565,704.009675
706.802975,805.4945,799.9334,703.45055,704.17255,716.8757,704.0139
706.814275,805.56325,800.0976,703.4778,704.191825,717.068525,704.0424
706.82375,805.727425,800.1782,703.49345,704.206575,717.302525,704.0699
706.83735,805.950225,800.33925,703.524725,704.2132,717.3225,704.0895
706.85245,807.0422,800.642725,703.58025,704.242825,717.3342,704.09565
706.8691,807.398125,801.088825,703.6327,704.2796,717.399775,704.11025
706.879025,807.9495,801.162025,703.662225,704.3286,717.73805,704.146725
706.898,808.896475,801.282575,703.674425,704.374,717.771225,704.158075
706.934975,809.0608,801.3185,703.688325,704.4272,717.818575,704.17005
706.946825,809.63175,802.1918,703.704625,704.45445,717.890075,704.1745
706.96585,809.887375,802.22215,703.739125,704.46805,717.9018,704.20245
707.055,809.994375,802.60715,703.748225,704.4778,717.90635,704.234
707.077525,811.168475,802.61545,703.773625,704.48595,717.994375,704.2805
707.0872,811.66865,802.778325,703.794225,704.50035,718.5954,704.31535
707.13455,811.93055,803.140375,703.87915,704.536925,718.6318,704.399675
707.17405,811.9396,803.1952,703.918775,704.554125,718.893,704.4262
707.19685,812.033725,803.40445,704.01915,704.57475,719.10535,704.4385
707.258275,812.118475,803.58815,704.077525,704.599175,719.4444,704.449175
707.28945,812.12065,803.731825,704.09195,704.6424,719.7728,704.486125
707.307625,812.125225,803.8566,704.104225,704.735475,719.7991,704.52235
707.3478,812.131625,804.232875,704.117725,704.819025,719.8143,704.544975
707.38495,812.4493,804.6356,704.13415,704.8461,719.827925,704.5702
707.396,812.69785,805.152325,704.156125,704.86765,719.99025,704.580525
707.4276,812.90115,805.1672,704.17255,704.88595,720.301275,704.59275
707.439075,812.905475,807.874775,704.191825,704.897375,720.3058,704.601525
707.461075,813.019575,808.287,704.206575,704.913575,720.3269,704.613
707.48575,813.149125,809.00855,704.2132,704.922475,720.4902,704.6314
707.4964,824.478975,809.976825,704.2428,704.93915,720.518975,704.6471
707.50795,824.7517,810.0242,704.2796,704.97105,720.750125,704.6712
707.528475,827.28395,810.15125,704.3286,705.016425,720.775275,704.7051
707.538325,827.67615,810.379775,704.374,705.07755,720.7875,704.731925
707.557875,837.637425,810.398,704.427175,705.163025,720.804375,704.75315
707.59135,838.895475,810.4848,704.454475,705.210375,720.828125,704.789175
707.607875,839.122275,810.721575,704.46805,705.23835,720.866775,704.80865
707.6315,845.17705,810.732075,704.48595,705.248,720.919675,704.8316
707.645925,849.30655,810.7921,704.500325,705.26135,720.947025,704.844325
707.75035,849.7388,810.86795,704.524475,705.272,720.98605,704.862575
707.8211,850.75295,811.245275,704.5369,705.2816,721.254625,704.881125
707.8604,851.46265,811.49115,704.5541,705.309275,721.2696,704.9011
707.8743,851.471525,811.871775,704.57475,705.334275,721.432025,704.90575
707.888925,852.277575,812.370275,704.599175,705.3577,721.6864,704.912225
707.890425,855.011675,812.446,704.6424,705.38655,721.87465,704.9272
707.9178,856.5118,812.5497,704.735475,705.4501,722.0124,704.933525
707.9302,858.97685,812.724675,704.819,705.491975,722.08815,704.944025
707.948875,860.1513,812.82145,704.8461,705.542575,722.1189,704.946075
707.960025,861.384725,813.095475,704.867625,705.61285,722.160725,704.959375
707.9756,861.38975,813.140125,704.88595,705.636725,722.29735,704.98675
708.0125,861.3981,813.14915,704.89735,705.661725,722.342625,705.1038
708.04765,861.734325,813.157325,704.913575,705.675075,722.34565,705.1184
708.1682,861.752175,813.401225,704.922475,705.8332,722.4037,705.143125
708.196225,862.1705,814.52885,704.939125,705.91005,722.4951,705.182025
708.441675,862.418925,815.27075,704.9486,705.9398,722.57445,705.201675
708.524775,862.423925,815.5403,704.97105,705.9589,722.73205,705.21975
708.71605,862.4275,815.671125,705.016425,705.977,722.7431,705.23065
708.76585,862.46385,816.556175,705.07755,705.989975,722.759675,705.244175
708.80205,862.485075,818.247075,705.163,706.00175,722.978075,705.2543
708.817775,862.487025,818.603575,705.21035,706.024075,722.993025,705.28365
708.853675,862.818675,818.717675,705.23835,706.046275,723.049825,705.29435
708.95015,863.49405,820.6246,705.248,706.065525,723.11415,705.305025
708.968575,863.520775,821.67625,705.26135,706.09575,723.2742,705.3172
709.16995,864.506425,822.052425,705.272,706.138225,723.713475,705.3516
709.183875,864.52975,823.759325,705.281575,706.17025,723.851925,705.35505
709.463,864.539075,824.1341,705.29375,706.187425,723.865375,705.383625
709.478925,864.85465,825.178575,705.309275,706.22045,723.890125,705.4417
