SPK_SPKC01a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC10a,SPK_SPKC12a,SPK_SPKC13a
135.00535,,,82.825725,187.728025,84.48755
135.021625,,,82.917225,,84.5378
135.137375,,,82.967625,,84.57345
135.1545,,,83.0385,,84.5952
136.424375,,,83.061975,,84.677225
137.06745,,,83.1191,,84.766325
137.583975,,,83.17965,,84.864775
138.614325,,,83.221625,,84.9138
140.446575,,,83.2705,,85.01095
140.448375,,,83.29215,,85.0456
140.553925,,,83.3388,,85.0912
140.728975,,,83.37065,,85.1853
140.8902,,,83.424,,85.34905
141.514,,,83.511425,,85.39795
141.548975,,,83.58785,,85.4911
141.73355,,,83.6289,,85.56635
142.0189,,,83.707725,,85.720475
143.164575,,,83.742925,,85.81965
144.287425,,,83.791875,,85.8267
144.4287,,,83.834075,,85.928625
144.58565,,,83.8663,,85.991625
144.76255,,,83.909225,,86.05785
145.44375,,,83.982575,,86.117225
146.147675,,,84.0896,,86.211175
146.1534,,,84.1571,,86.2483
146.223375,,,84.2109,,86.3347
146.298625,,,84.25915,,86.4418
146.376875,,,84.298675,,86.4814
146.484175,,,84.3439,,86.6658
147.513025,,,84.380175,,86.68775
147.76065,,,84.440325,,86.960675
148.5926,,,84.501175,,87.05705
148.59905,,,84.562675,,87.08955
148.604575,,,84.650825,,87.1374
148.824275,,,84.773425,,87.185425
148.929,,,84.801925,,87.291975
149.042325,,,84.8297,,87.358825
149.083475,,,84.911,,87.494075
149.115575,,,85.02865,,87.5218
149.589575,,,85.1482,,87.56825
149.6632,,,85.317175,,87.800075
149.887025,,,85.40925,,87.82895
151.886225,,,85.494825,,87.878075
152.11385,,,85.628975,,87.9173
152.51905,,,85.72725,,87.975775
153.11145,,,85.772625,,88.0063
153.22235,,,85.802725,,88.1324
153.265275,,,85.82595,,88.167725
153.576925,,,85.87035,,88.211675
153.809275,,,85.91395,,88.30235
154.04065,,,85.941325,,88.362525
154.051975,,,85.96655,,88.41275
154.077325,,,86.019125,,88.455325
154.07855,,,86.081475,,88.559825
154.158475,,,86.1692,,88.61135
154.456775,,,86.314025,,88.6669
154.685775,,,86.38495,,88.6881
155.096975,,,86.417725,,88.74375
155.3236,,,86.5136,,88.797
155.436975,,,86.59365,,88.82785
155.747925,,,86.66235,,88.858575
156.31555,,,86.687075,,88.96125
156.4231,,,86.69935,,89.05355
156.8253,,,86.716875,,89.1028
157.034275,,,86.74505,,89.166475
157.2983,,,86.777425,,89.216625
157.5111,,,86.807225,,89.33195
158.35045,,,86.84295,,89.370525
158.5216,,,86.897375,,89.380775
159.176,,,86.92525,,89.42255
159.2072,,,86.99155,,89.514375
159.2568,,,87.048325,,89.53835
159.754425,,,87.0861,,89.593775
159.868825,,,87.174925,,89.62385
160.436525,,,87.23675,,89.640925
160.4674,,,87.3331,,89.7072
160.503625,,,87.412075,,89.7769
160.549525,,,87.494825,,89.844875
160.7289,,,87.54435,,89.88075
160.806925,,,87.574,,89.9619
161.155175,,,87.61975,,90.150375
161.184525,,,87.687975,,90.1811
161.19395,,,87.726775,,90.231075
161.21675,,,87.788475,,90.362925
161.300175,,,87.83905,,90.411725
161.472675,,,87.8968,,90.47645
161.78635,,,88.027425,,90.541175
161.905775,,,88.117525,,90.664275
162.18315,,,88.21705,,90.772575
162.247625,,,88.300475,,90.838875
162.42785,,,88.4325,,90.85845
162.458625,,,88.471925,,90.97225
162.611725,,,88.61425,,90.991375
163.034225,,,88.672425,,91.10365
163.1341,,,88.802225,,91.147275
163.260825,,,88.8839,,91.20385
163.7389,,,88.978175,,91.252475
165.19965,,,89.113525,,91.288925
165.3259,,,89.269425,,91.3969
165.347675,,,89.476325,,91.475325
165.37795,,,89.602125,,91.6061
165.718975,,,89.716775,,91.768275
165.929225,,,89.813775,,91.8302
166.0077,,,89.92005,,91.883275
166.1953,,,89.989625,,91.983775
166.5517,,,90.171725,,92.02345
166.69865,,,90.2508,,92.163925
166.7131,,,90.4167,,92.4913
166.7974,,,90.486725,,92.5263
166.8573,,,90.75525,,92.53235
166.8848,,,90.78355,,92.650275
167.4236,,,90.806425,,92.698125
167.747325,,,90.84725,,92.760975
167.8402,,,90.937125,,92.849625
168.43005,,,91.011225,,92.855125
168.4557,,,91.02965,,93.014525
169.154775,,,91.11505,,93.068525
170.32675,,,91.145775,,93.18645
170.4654,,,91.18045,,93.2987
170.916175,,,91.2046,,93.34655
170.955875,,,91.246825,,93.398775
170.9875,,,91.280125,,93.444525
171.009475,,,91.32475,,93.5307
171.109875,,,91.38255,,93.58385
171.1959,,,91.4077,,93.6177
171.302025,,,91.45315,,93.749375
171.48865,,,91.516,,93.751575
172.09785,,,91.578975,,93.802525
172.109725,,,91.649925,,93.859725
172.1281,,,91.691825,,93.896325
172.24095,,,91.753425,,93.94505
172.336,,,91.7964,,93.98215
172.615325,,,91.865025,,94.0303
172.750275,,,91.9682,,94.071375
172.974675,,,92.0807,,94.11865
172.979675,,,92.3158,,94.18345
173.385125,,,92.3776,,94.319275
173.420925,,,92.437775,,94.47735
173.5358,,,92.50255,,94.62945
173.5835,,,92.55335,,94.7203
173.877,,,92.688925,,94.7901
174.0859,,,92.803775,,94.837425
174.4354,,,92.8561,,94.895275
174.6638,,,93.17265,,95.05095
174.75515,,,93.27615,,95.255575
174.76695,,,93.3226,,95.299225
174.901775,,,93.3901,,95.369275
175.384775,,,93.427,,95.415475
175.473225,,,93.456925,,95.5162
175.48925,,,93.627525,,95.548625
175.545225,,,93.7287,,95.60795
175.576925,,,93.741475,,95.6842
175.977275,,,93.7528,,95.748475
176.5389,,,93.775425,,95.803625
176.878375,,,93.861725,,95.853775
177.121425,,,93.983625,,95.981775
177.447125,,,94.025275,,96.0677
178.13705,,,94.093975,,96.10605
178.48055,,,94.1821,,96.17155
178.554475,,,94.325725,,96.232475
