SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC06b,SPK_SPKC09a,SPK_SPKC10a,SPK_SPKC14a
86.66685,20.75035,47.446775,52.080325,8.3148,115.431475,2.158725,12.059625
87.20735,20.79295,47.916375,52.474275,8.3872,115.748025,2.170325,12.1463
87.590325,20.8068,47.934675,52.682225,8.6378,115.84715,2.20035,12.724775
87.955975,20.9396,48.2715,53.39785,8.67985,115.9524,2.2454,12.77425
88.479,21.02315,48.3379,54.561275,8.6834,116.453075,2.260825,12.784675
88.52215,21.366425,48.5285,55.176875,8.70055,116.8543,2.2834,12.80445
89.046775,21.5733,49.4071,55.576,8.71015,117.5608,2.343875,13.0456
89.2113,21.5954,49.50555,55.85025,8.7345,118.192575,2.38825,13.057175
89.276475,21.748325,49.634975,55.997075,8.788875,118.7088,2.4164,13.089175
89.98665,21.810825,49.75765,56.221225,8.8854,119.281925,2.43475,13.113075
91.049025,21.89765,50.47855,56.920275,8.9328,120.59305,2.448175,13.1534
93.52815,21.9889,50.50205,57.16275,8.943625,121.8957,2.46075,13.246025
93.639975,22.0455,50.83035,57.235275,9.079,122.147525,2.469925,13.6212
93.7797,22.0534,51.098075,57.237525,9.20435,122.4669,2.4765,13.768
93.81435,22.073875,51.3826,57.918425,9.226375,123.0259,2.4993,13.80525
94.04815,22.08045,51.863,58.795875,9.39025,125.44685,2.511025,13.84865
94.117825,22.1795,52.042975,59.2228,9.6077,125.863775,2.521425,13.89435
94.6763,22.296025,52.4014,59.9034,9.848325,126.361375,2.53005,14.047425
95.3721,22.328925,53.0708,60.2583,10.019975,127.0906,2.535125,14.05965
95.475925,22.483525,53.4601,60.2881,10.099,128.11455,2.544175,14.144575
96.366575,22.66835,54.33195,60.321625,10.16565,129.10425,2.5499,14.207625
96.479575,22.714325,54.561275,61.060425,10.2054,129.388525,2.610525,14.3341
96.709575,22.7215,54.979475,61.1752,10.249675,133.866525,2.62045,14.347925
96.788575,22.730675,55.4361,61.251,10.26285,134.439525,2.6313,14.352425
96.822075,22.73935,55.6251,61.292025,10.30595,135.826325,2.648025,14.370925
97.544475,22.81545,55.880375,61.748875,10.319675,139.1065,2.6708,14.3898
97.924475,22.8864,56.00595,62.177925,10.33265,140.0466,2.697125,14.460025
98.081975,22.8925,56.436625,62.654575,10.752075,140.0806,2.705825,14.4692
99.1808,22.914175,57.1017,62.797575,10.8085,140.394675,2.731875,14.479275
99.4174,23.179675,57.235275,62.97415,10.85705,141.13195,2.7472,14.6587
99.619025,23.192175,57.718125,63.022775,10.8699,142.08445,2.772475,14.7547
100.6532,23.2424,57.77575,63.503075,10.91885,142.28135,2.794075,14.82145
101.008525,23.289225,57.88405,63.65815,11.05705,143.02885,2.8096,14.830225
101.7579,23.3143,58.2481,64.3175,11.078675,143.838475,2.832825,14.98545
102.255375,23.3392,58.397375,64.44535,11.150125,144.016275,2.846875,15.149425
102.3149,23.495625,59.19655,64.701325,11.16645,144.726975,2.86435,15.29345
102.393,23.516225,59.760225,64.8866,11.2171,144.747525,2.87875,15.36095
103.028175,23.557175,59.8792,64.908175,11.260775,146.64995,2.89715,15.38525
103.7908,23.561225,61.0603,64.92555,11.34295,147.874,2.917825,15.464225
104.231725,23.582925,61.48185,65.23545,11.556975,147.9908,2.933975,15.678125
104.586025,23.590325,62.04395,65.73455,11.595325,148.015,2.94965,15.69105
104.70955,23.620875,62.497675,65.747475,11.64005,149.202625,2.962825,15.848325
104.8509,23.682075,63.276225,66.7947,11.654175,,2.99685,15.98475
105.05345,23.695025,63.44105,67.321475,11.664975,,3.01185,16.064525
105.528675,23.742125,63.898525,67.34785,11.698025,,3.028375,16.136625
