SPK_SPKC01a,SPK_SPKC09a,SPK_SPKC09b
73.3406,83.0771,104.365725
73.373675,83.101625,104.4622
73.426275,83.1365,104.5407
73.4491,83.229125,104.735625
73.48745,83.287025,104.79585
73.5317,83.325025,104.94925
73.56765,83.39075,105.150525
73.606175,83.429175,105.268975
73.672225,83.484975,105.569525
73.715875,83.5385,106.1387
73.7585,83.569975,106.468825
73.7997,83.595825,106.732725
73.839125,83.717825,106.83895
73.885775,83.831875,106.948975
73.9307,84.047,107.00645
73.9679,84.203125,107.216275
74.015775,84.4022,107.2655
74.0732,84.65235,107.676975
74.118325,84.6804,107.7718
74.149225,85.70375,107.953575
74.209925,85.731525,108.174875
74.2397,85.795875,108.562075
74.27685,85.85255,108.61505
74.2996,85.895675,108.6832
74.324625,85.920875,108.76735
74.3836,85.9529,108.844375
74.4113,85.987825,109.0016
74.445175,86.081725,109.178425
74.468325,86.108525,109.647775
74.4914,86.163775,109.911575
74.527825,86.200725,110.095125
74.5669,86.241725,110.32845
74.615075,86.319175,110.679825
74.6362,86.361775,110.774375
74.669325,86.418575,111.14325
74.7052,86.4374,111.390675
74.73765,86.516625,111.5286
74.781525,86.858525,111.90935
74.83645,86.8963,111.9678
74.8832,86.939775,112.053675
74.92965,87.0804,112.435375
74.983375,88.105925,112.6415
75.039625,88.1985,112.908625
75.079925,88.2736,113.076875
75.11285,88.392625,113.3191
75.150075,88.43385,113.40615
75.17875,88.613075,113.622225
75.2253,88.6847,113.805025
75.276675,88.8717,113.8961
75.31515,90.1075,113.959725
75.356625,90.142825,114.022075
75.38485,90.20345,114.131825
75.42805,90.228975,114.1754
75.504625,90.26435,114.2721
75.5631,90.317475,114.341725
75.6125,90.365425,114.40525
75.647025,90.394975,114.5703
75.69925,90.457775,114.71865
75.75425,90.489175,115.012975
75.7932,90.614575,115.156625
75.847575,90.664075,115.260325
75.9193,90.756775,115.470575
75.9964,90.773925,115.702675
76.02525,90.81415,115.898725
76.080225,90.8721,115.994075
76.1123,90.9007,116.196975
76.1569,90.946425,116.52385
76.1918,90.984025,116.660475
76.265775,91.09045,117.065125
76.3025,91.130575,117.350875
76.3323,91.179325,117.495525
76.37405,91.251875,117.633225
76.477775,91.323,117.7318
76.5705,91.38975,118.004175
76.6242,93.5411,118.122975
77.042325,93.587425,118.256
77.10505,93.645625,118.549125
77.26415,93.672025,118.7947
77.318525,93.70365,118.8838
77.36995,93.804775,119.086275
77.4004,93.840825,119.3877
77.43525,93.940875,119.501
77.473925,93.98475,119.769125
77.5232,94.014,119.965875
77.571075,94.03125,120.2938
77.638325,94.1,120.470925
77.701475,94.176525,120.81215
77.76135,94.26635,121.051
77.822575,94.3296,121.128925
77.8711,94.355775,121.419175
77.9919,94.41615,121.722575
80.164425,94.481175,121.93025
80.293725,94.654,121.999325
80.378825,96.232025,122.12805
80.403975,96.298925,122.383175
80.4557,96.332225,122.5428
80.50445,96.3519,122.876125
80.5422,96.446375,123.02215
80.59075,96.46085,123.2139
80.65415,96.4745,123.258425
80.694525,96.520525,123.601925
80.749575,96.693175,124.013325
80.835425,96.822375,124.10695
80.887625,96.9842,124.1579
80.9511,97.078475,124.17155
81.068225,97.157425,124.21625
82.810475,97.232525,124.2232
